uid,psi_emul,psi_real,psi_star,rank_emul,rank_real,rank_star,outdeg_real,outdeg_star,lambda
519514,0.0370807,0.0638813,0.137812,1,2,1,459,272,3.166949588445049e-05
490872,0.0246795,0.0939913,0.122545,2,1,2,595,243,3.539139936831588e-05
1004172,0.0132962,0.00705145,0.0129211,3,23,12,520,53,2.0084952304235205e-06
482551,0.0115281,0.0475634,0.0409036,4,3,3,1247,799,1.0956293887286599e-05
110361,0.00707264,0.0131892,0.0205122,5,5,7,288,105,1.0328044194357914e-05
244531,0.00705449,0.0123262,0.022779,6,7,4,312,81,1.0404195672288664e-05
296675,0.00676817,0.00829476,0.0208342,7,17,6,347,209,8.728863157812173e-06
980392,0.00670059,0.00593685,0.0103973,8,27,16,230,76,6.215864386097436e-06
153610,0.00622213,0.0029307,0.00549353,9,54,32,81,40,3.636233071193293e-06
821785,0.00621296,0.0113183,0.0064927,10,11,26,1084,290,2.7414532055069855e-06
