N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0112891,0.00499759,-1.0,864.5,0.0
3,0.00734964,0.00441619,-1.0,790.0,0.0
4,0.00532525,0.004357,-1.0,789.25,0.0
5,0.00513206,0.00401812,-0.6,713.0,0.0
6,0.0047856,0.00400596,-0.06666666666666665,937.6666666666666,0.0
7,0.00443994,0.00263833,0.04761904761904762,811.4285714285714,0.0
8,0.00415206,0.00263101,0.14285714285714285,776.625,0.0
9,0.00368048,0.00257605,-0.1111111111111111,780.0,0.0
10,0.00336233,0.00254259,0.1111111111111111,1002.6,0.0
11,0.00323256,0.00239236,0.1272727272727273,951.6363636363636,0.0
12,0.0029058,0.00220802,0.0909090909090909,873.5,0.0
13,0.00282781,0.00218085,-0.025641025641025637,859.8461538461538,0.0
14,0.00238972,0.0021371,0.1208791208791209,1046.142857142857,0.0
15,0.00236063,0.00212533,0.12380952380952381,997.8,0.0
16,0.0022751,0.00193091,0.0,986.125,0.0
17,0.00224642,0.00188885,-0.044117647058823525,958.2941176470588,0.0
18,0.00223309,0.00182836,-0.05882352941176472,916.7222222222222,0.0
19,0.00217541,0.00180283,-0.12280701754385964,906.1052631578947,0.0
20,0.00213694,0.00178878,-0.052631578947368425,928.6,0.0
21,0.00209021,0.00176735,-0.10476190476190478,918.0952380952381,0.0
22,0.00208677,0.00172146,-0.07359307359307359,885.7727272727273,0.045454545454545456
23,0.002057,0.00170648,-0.13043478260869565,881.3913043478261,0.043478260869565216
24,0.0020477,0.001696,-0.20289855072463767,879.7083333333334,0.08333333333333333
25,0.0018377,0.00168899,-0.20666666666666664,869.32,0.12
26,0.00182049,0.00167738,-0.16923076923076924,841.5384615384615,0.11538461538461539
27,0.00179768,0.00163008,-0.15099715099715103,810.4814814814815,0.1111111111111111
28,0.00174329,0.00162321,-0.08994708994708994,836.6428571428571,0.10714285714285714
29,0.00163571,0.00161698,-0.014778325123152707,987.448275862069,0.10344827586206896
30,0.00163047,0.00158959,0.020689655172413793,979.0666666666667,0.1
31,0.00162765,0.00155673,-0.023655913978494626,971.0967741935484,0.0967741935483871
32,0.00160824,0.00152078,0.036290322580645164,1089.1875,0.09375
33,0.00159818,0.00150776,0.06439393939393939,1081.5757575757575,0.09090909090909091
34,0.00155233,0.00150528,0.04812834224598931,1058.9705882352941,0.08823529411764706
35,0.00150851,0.0014783,0.08571428571428572,1077.5428571428572,0.08571428571428572
36,0.00149053,0.0014772,0.06349206349206349,1060.8055555555557,0.08333333333333333
37,0.00148131,0.00145209,0.03303303303303304,1050.8648648648648,0.10810810810810811
38,0.00148079,0.00139926,0.012802275960170698,1039.5526315789473,0.10526315789473684
39,0.00144595,0.00137708,-0.033738191632928474,1034.3076923076924,0.1282051282051282
40,0.00141496,0.00134371,-0.007692307692307693,1029.125,0.125
41,0.00136081,0.00131087,-0.05365853658536585,1024.780487804878,0.14634146341463414
42,0.00134403,0.00130549,-0.059233449477351915,1011.452380952381,0.14285714285714285
43,0.00131484,0.00126478,-0.040974529346622365,995.0930232558139,0.13953488372093023
44,0.00130241,0.00122979,0.006342494714587738,1124.0,0.13636363636363635
45,0.00127241,0.00122064,0.050505050505050504,1276.5111111111112,0.13333333333333333
46,0.00125628,0.00120598,0.03381642512077295,1261.5217391304348,0.13043478260869565
47,0.00124583,0.0011877,0.03977798334875116,1237.936170212766,0.1276595744680851
48,0.0012157,0.0011818,0.04787234042553192,1218.0625,0.125
49,0.00120316,0.00117163,0.0748299319727891,1229.795918367347,0.12244897959183673
50,0.00116958,0.00116978,0.10204081632653061,1262.52,0.12
51,0.00111579,0.00116666,0.11372549019607844,1252.9019607843138,0.11764705882352941
52,0.00111376,0.00113779,0.08144796380090498,1243.5,0.11538461538461539
53,0.0011094,0.00112574,0.09869375907111756,1246.6415094339623,0.11320754716981132
54,0.00110318,0.00112082,0.09713487071977636,1226.148148148148,0.1111111111111111
55,0.0010947,0.00111852,0.1272727272727273,1323.2545454545455,0.10909090909090909
56,0.00106337,0.00110945,0.13376623376623378,1309.4464285714287,0.10714285714285714
57,0.00104117,0.00109088,0.14536340852130328,1303.701754385965,0.10526315789473684
58,0.00102067,0.00107547,0.13369630973986688,1283.5172413793102,0.1206896551724138
59,0.000988737,0.00106999,0.1618936294564582,1376.677966101695,0.11864406779661017
60,0.000979321,0.00104759,0.17288135593220338,1376.0833333333333,0.11666666666666667
61,0.000973643,0.00104496,0.15628415300546447,1361.1803278688524,0.11475409836065574
62,0.000964093,0.00103103,0.17398202009518773,1376.983870967742,0.11290322580645161
63,0.000960456,0.00102543,0.159242191500256,1360.936507936508,0.1111111111111111
64,0.000950777,0.00101823,0.17261904761904762,1365.40625,0.109375
65,0.000946843,0.0010181,0.15961538461538463,1349.0923076923077,0.1076923076923077
66,0.000943217,0.0010164,0.14778554778554778,1332.7424242424242,0.10606060606060606
67,0.000927141,0.00101491,0.13794663048394395,1316.3731343283582,0.1044776119402985
68,0.000912085,0.00101336,0.15627743634767338,1339.3676470588234,0.10294117647058823
69,0.000905705,0.00100043,0.1483375959079284,1321.0869565217392,0.10144927536231885
70,0.00088568,0.000999066,0.1494824016563147,1306.442857142857,0.1
71,0.00088078,0.000990237,0.12756539235412476,1298.2112676056338,0.09859154929577464
72,0.000864123,0.000982435,0.14710485133020343,1345.5555555555557,0.09722222222222222
73,0.000855437,0.000975478,0.16742770167427704,1414.109589041096,0.0958904109589041
74,0.00085168,0.000969533,0.17956312476860423,1421.7837837837837,0.0945945945945946
75,0.0008487,0.000957235,0.15891891891891893,1412.0666666666666,0.09333333333333334
76,0.000847306,0.000943817,0.14035087719298248,1402.2368421052631,0.09210526315789473
77,0.000844206,0.000913386,0.1565276828434723,1427.6363636363637,0.09090909090909091
78,0.000835991,0.000904591,0.1774891774891775,1501.9615384615386,0.08974358974358974
79,0.000797399,0.000892598,0.17753975981824086,1488.392405063291,0.08860759493670886
80,0.000784445,0.000880976,0.16582278481012658,1473.4875,0.0875
81,0.000774195,0.000879829,0.15246913580246912,1460.432098765432,0.08641975308641975
82,0.000762022,0.000872947,0.15627822944896114,1451.939024390244,0.08536585365853659
83,0.000748353,0.00086391,0.15133705553923008,1434.8072289156626,0.08433734939759036
84,0.000740505,0.000854617,0.14859437751004018,1419.1904761904761,0.08333333333333333
85,0.000730421,0.000842667,0.15126050420168066,1409.2117647058824,0.08235294117647059
86,0.000713965,0.000840156,0.15950752393980847,1410.7558139534883,0.08139534883720931
87,0.000711738,0.000805939,0.14407912322908312,1401.16091954023,0.08045977011494253
88,0.000711272,0.000803273,0.12173458725182863,1394.7386363636363,0.09090909090909091
89,0.000701678,0.00078354,0.11848825331971401,1380.0674157303372,0.0898876404494382
90,0.000693939,0.000778027,0.1111111111111111,1367.1888888888889,0.08888888888888889
91,0.000693095,0.000766767,0.1238095238095238,1382.857142857143,0.08791208791208792
92,0.00068903,0.000763823,0.1323459149546106,1384.554347826087,0.08695652173913043
93,0.000688296,0.000758343,0.12435717625058439,1372.4623655913979,0.08602150537634409
94,0.000685419,0.000744154,0.13017616106154198,1370.8085106382978,0.0851063829787234
95,0.000682223,0.000740436,0.14580067189249718,1420.0105263157895,0.08421052631578947
96,0.000681308,0.000718886,0.16315789473684209,1481.6666666666667,0.08333333333333333
97,0.000671122,0.000717396,0.16194158075601378,1469.1340206185566,0.08247422680412371
98,0.000669122,0.000716974,0.17231222385861564,1482.8775510204082,0.08163265306122448
99,0.000646837,0.000699907,0.16388373531230674,1469.7575757575758,0.08080808080808081
100,0.0006377,0.000699556,0.15717171717171718,1456.11,0.08
101,0.000634036,0.000694401,0.15683168316831686,1444.6831683168316,0.07920792079207921
102,0.000629308,0.000692598,0.1605513492525723,1438.5,0.0784313725490196
103,0.000615666,0.000687569,0.16466780887112129,1435.873786407767,0.07766990291262135
104,0.000609122,0.000683986,0.17774458551157582,1473.4615384615386,0.07692307692307693
105,0.000600268,0.000674609,0.19340659340659339,1559.6571428571428,0.0761904761904762
106,0.000597917,0.000670139,0.19784366576819412,1558.132075471698,0.07547169811320754
107,0.000592798,0.000661677,0.1814494798095574,1550.2616822429907,0.07476635514018691
108,0.000584858,0.000650255,0.16545517480096916,1542.5740740740741,0.08333333333333333
109,0.000581527,0.00064987,0.16615698267074414,1533.834862385321,0.08256880733944955
110,0.000578768,0.000626762,0.15229357798165136,1526.1181818181817,0.08181818181818182
111,0.000576108,0.000625138,0.16101556101556103,1536.6486486486488,0.08108108108108109
112,0.000569989,0.000622415,0.1731016731016731,1572.3839285714287,0.08035714285714286
113,0.000568634,0.000616905,0.16213653603034134,1562.283185840708,0.07964601769911504
114,0.000543841,0.000611885,0.17248874398385344,1586.5350877192982,0.07894736842105263
115,0.000541272,0.000605608,0.18565980167810833,1631.878260869565,0.0782608695652174
116,0.000530985,0.00059767,0.1856071964017991,1623.1637931034484,0.07758620689655173
117,0.000530496,0.000594068,0.1818449749484232,1610.5299145299145,0.07692307692307693
118,0.00052414,0.000593691,0.17514124293785313,1597.915254237288,0.07627118644067797
119,0.000511713,0.000588107,0.18900441532545223,1673.6806722689075,0.08403361344537816
120,0.000506937,0.000577794,0.20084033613445376,1715.8166666666666,0.08333333333333333
121,0.00050563,0.000574604,0.18815426997245177,1706.4297520661157,0.08264462809917356
122,0.000505183,0.000573978,0.17816014090231677,1695.4590163934427,0.08196721311475409
123,0.000498762,0.000571419,0.1725976276156204,1682.2276422764228,0.08130081300813008
124,0.00049787,0.000571057,0.17492787831104115,1676.3467741935483,0.08870967741935484
125,0.000488784,0.000570041,0.17496774193548384,1667.632,0.088
126,0.00048855,0.000568933,0.18425396825396825,1692.9761904761904,0.0873015873015873
127,0.00048842,0.00056368,0.17685289338832644,1681.1496062992126,0.08661417322834646
128,0.000487179,0.000562482,0.16043307086614175,1674.7109375,0.09375
129,0.000485509,0.000561009,0.14777131782945735,1667.2558139534883,0.09302325581395349
130,0.000484035,0.000553378,0.15587358378056052,1677.0076923076922,0.09230769230769231
131,0.000478012,0.000553364,0.15936582501468,1674.2595419847328,0.0916030534351145
132,0.000477758,0.000553142,0.14318760120286836,1668.4924242424242,0.09848484848484848
133,0.000471413,0.000547316,0.1348826611984507,1658.7744360902257,0.10526315789473684
134,0.000468601,0.000545395,0.13904163393558522,1656.3208955223881,0.1044776119402985
135,0.000464469,0.000540896,0.13676064123825318,1645.2,0.1037037037037037
136,0.000463807,0.000540529,0.13747276688453158,1637.4926470588234,0.10294117647058823
137,0.000463641,0.000538059,0.12344353799914123,1631.6277372262773,0.11678832116788321
138,0.000460059,0.000532176,0.1145668041891463,1623.3695652173913,0.11594202898550725
139,0.000455254,0.000531993,0.10749661140652693,1614.3021582733813,0.11510791366906475
140,0.000448149,0.000517678,0.10483042137718397,1603.0857142857142,0.11428571428571428
141,0.000446247,0.000517301,0.11509625126646403,1632.8652482269504,0.11347517730496454
142,0.000444016,0.000514846,0.12476276096294076,1659.4788732394366,0.11267605633802817
143,0.000440667,0.000514518,0.1366098690042352,1706.06993006993,0.11188811188811189
144,0.000440516,0.000514109,0.13947163947163946,1702.7083333333333,0.1111111111111111
145,0.000439578,0.000512874,0.1467432950191571,1712.2137931034483,0.1103448275862069
146,0.000435851,0.000510527,0.1487954652810581,1706.945205479452,0.1095890410958904
147,0.000431374,0.000510424,0.13670673748951637,1700.5850340136055,0.10884353741496598
148,0.000430571,0.000508447,0.12667769810626953,1693.5675675675675,0.10810810810810811
149,0.00042411,0.000502233,0.13241429348811898,1696.8859060402685,0.10738255033557047
150,0.000415517,0.000501922,0.12966442953020133,1685.92,0.10666666666666667
151,0.000413933,0.000497851,0.12317880794701988,1677.046357615894,0.10596026490066225
152,0.00041158,0.000491759,0.11118856744510283,1671.3684210526317,0.10526315789473684
153,0.000409119,0.000480741,0.11334709322325423,1665.686274509804,0.10457516339869281
154,0.00040768,0.000479504,0.12112723877429758,1681.564935064935,0.1038961038961039
155,0.000400116,0.000473592,0.13213238374528696,1737.6129032258063,0.1032258064516129
156,0.00039895,0.000472911,0.13151364764267992,1728.9038461538462,0.10256410256410256
157,0.00039581,0.000470218,0.1352278294953454,1726.5859872611466,0.10191082802547771
158,0.000395675,0.000468958,0.14569055873578973,1769.4746835443038,0.10759493670886076
159,0.00039481,0.000467839,0.15022689276331505,1769.6477987421383,0.1069182389937107
160,0.000394277,0.000466897,0.14135220125786163,1762.25625,0.10625
161,0.000386386,0.000465039,0.14906832298136646,1783.0496894409937,0.10559006211180125
162,0.000382919,0.000462404,0.15573959052219924,1797.4753086419753,0.10493827160493827
163,0.000377894,0.00045658,0.14625463909717487,1790.5889570552147,0.10429447852760736
164,0.000375939,0.0004563,0.14379769564566813,1780.3597560975609,0.10975609756097561
165,0.00037556,0.000455867,0.132889874353289,1774.3757575757577,0.10909090909090909
166,0.00037317,0.00045247,0.12391383716684923,1767.7771084337348,0.10843373493975904
167,0.00037239,0.000452435,0.1198326239088089,1758.065868263473,0.10778443113772455
168,0.000372147,0.000441985,0.1281722269746222,1782.5238095238096,0.10714285714285714
169,0.000371075,0.000439348,0.1303183995491688,1779.0355029585799,0.11242603550295859
170,0.00037006,0.000438696,0.13539853811347025,1784.2882352941176,0.11176470588235295
171,0.000368061,0.000437782,0.14482284141726867,1821.608187134503,0.1111111111111111
172,0.000366816,0.000433676,0.15231878144974842,1843.4825581395348,0.11046511627906977
173,0.000366267,0.000433242,0.15364968409732493,1839.2601156069363,0.10982658959537572
174,0.000362817,0.000431405,0.16032157331738753,1857.8045977011495,0.10919540229885058
175,0.000358965,0.000431229,0.16873563218390802,1886.4742857142858,0.10857142857142857
176,0.000351729,0.000429536,0.17207792207792205,1886.3806818181818,0.10795454545454546
177,0.000351595,0.000428918,0.1751412429378531,1885.316384180791,0.10734463276836158
178,0.000351555,0.000426537,0.1729829238875135,1875.876404494382,0.10674157303370786
179,0.000350837,0.000426074,0.1750674785010357,1873.1620111731843,0.10614525139664804
180,0.000346774,0.000425312,0.16784605834885163,1865.2333333333333,0.10555555555555556
181,0.000346553,0.000422964,0.15862492326580727,1858.9668508287293,0.10497237569060773
182,0.000346347,0.000415636,0.1495355473256026,1852.8956043956043,0.10989010989010989
183,0.000345491,0.000414198,0.15006305170239598,1847.0819672131147,0.1092896174863388
184,0.000337043,0.000411725,0.15431218816821102,1851.4510869565217,0.10869565217391304
185,0.000336599,0.000405775,0.1481786133960047,1843.6432432432432,0.10810810810810811
186,0.000333914,0.00040567,0.1409473990119151,1836.758064516129,0.10752688172043011
187,0.000332451,0.00040461,0.15013512736472887,1888.24064171123,0.10695187165775401
188,0.00032976,0.000403438,0.15382864944817384,1888.2925531914893,0.10638297872340426
189,0.000328326,0.000402494,0.14533378363165594,1882.1587301587301,0.10582010582010581
190,0.000325459,0.000401369,0.1388471177944862,1874.7473684210527,0.10526315789473684
191,0.000325271,0.000399261,0.14687241664370349,1902.497382198953,0.10471204188481675
192,0.000323099,0.000399215,0.1537958115183246,1925.015625,0.109375
193,0.000322195,0.000398554,0.15727547495682212,1925.823834196891,0.10880829015544041
194,0.000318612,0.000397257,0.1601944340580097,1925.3350515463917,0.10824742268041238
195,0.000317782,0.000397185,0.16489558551414224,1931.1538461538462,0.11282051282051282
196,0.000316598,0.000395996,0.15719518576661437,1924.6275510204082,0.11224489795918367
197,0.000315899,0.000393034,0.15963949031389205,1923.0253807106599,0.1116751269035533
198,0.000314294,0.000391331,0.16146233912731375,1920.3080808080808,0.1111111111111111
199,0.000313375,0.000390943,0.15080452768894984,1915.2412060301508,0.11557788944723618
200,0.000312843,0.000389608,0.14643216080402008,1906.735,0.115
201,0.000312347,0.000388606,0.15422885572139303,1937.1791044776119,0.11442786069651742
202,0.000311638,0.000387511,0.15777547904044137,1939.9356435643565,0.1188118811881188
203,0.000309171,0.000386894,0.15329463980880847,1931.5960591133005,0.11822660098522167
204,0.000307013,0.000378971,0.1581184197817058,1941.1470588235295,0.11764705882352941
205,0.000306346,0.00037844,0.16470588235294115,1963.360975609756,0.11707317073170732
206,0.000305587,0.00037418,0.1588917830925882,1955.9223300970873,0.11650485436893204
207,0.000304949,0.000374092,0.16185919984991326,1955.9951690821256,0.11594202898550725
208,0.000303768,0.000373666,0.1670382757339279,1970.4134615384614,0.1201923076923077
209,0.000302947,0.00037341,0.15596245859403757,1965.8708133971293,0.12440191387559808
210,0.000302854,0.000372563,0.16081111870585554,1977.1142857142856,0.12380952380952381
211,0.000302456,0.000371223,0.1673211464680659,1999.1469194312797,0.12796208530805686
212,0.00029924,0.00036995,0.1637306626128946,1990.3349056603774,0.12735849056603774
213,0.000298859,0.000365761,0.15368943219062808,1985.4460093896714,0.13145539906103287
214,0.00029832,0.000365088,0.14905006362160503,1977.747663551402,0.1308411214953271
215,0.000297274,0.000362724,0.14957617909150187,1973.7441860465117,0.13023255813953488
216,0.000293257,0.000361321,0.13919035314384148,1969.3055555555557,0.13425925925925927
217,0.000292185,0.00036078,0.14635603345280768,1994.9769585253457,0.1336405529953917
218,0.000292021,0.000355856,0.14945250073986388,1996.2339449541284,0.13302752293577982
219,0.000290899,0.000354226,0.15210925390641364,1996.0319634703196,0.1324200913242009
220,0.000290723,0.000352865,0.15425487754254877,1995.0863636363636,0.1318181818181818
221,0.000285333,0.000352691,0.15343480049362404,1988.7782805429865,0.13122171945701358
222,0.000284572,0.000350975,0.1467938526762056,1982.7747747747749,0.13063063063063063
223,0.000277262,0.00034749,0.14555811416797962,1975.7399103139014,0.13004484304932734
224,0.000274957,0.000346217,0.13589045483664317,1971.4419642857142,0.13392857142857142
225,0.000273836,0.00034404,0.12928571428571428,1965.831111111111,0.13777777777777778
226,0.000272648,0.000343446,0.12346116027531957,1959.8716814159293,0.13716814159292035
227,0.000271943,0.000342795,0.12541421387080423,1957.7092511013216,0.13656387665198239
228,0.000271469,0.000339707,0.1320813045830435,1979.5570175438597,0.13596491228070176
229,0.000271345,0.000338181,0.13966138052554966,2021.4454148471616,0.13537117903930132
230,0.000269847,0.000337611,0.1390165179419024,2015.0434782608695,0.13478260869565217
