N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0112891,0.0138047,1.0,152.5,0.0
3,0.00734964,0.0102285,-0.33333333333333337,153.66666666666666,0.6666666666666666
4,0.00532525,0.00795888,-0.6666666666666669,154.75,0.75
5,0.00513206,0.00702864,0.0,154.4,0.8
6,0.0047856,0.00659894,0.3333333333333333,153.0,0.6666666666666666
7,0.00443994,0.00580884,0.4285714285714286,153.0,0.7142857142857143
8,0.00415206,0.00580223,0.4999999999999999,152.75,0.625
9,0.00368048,0.00522615,0.3333333333333333,153.55555555555554,0.7777777777777778
10,0.00336233,0.00514996,0.4666666666666666,152.7,0.7
11,0.00323256,0.0047554,0.4909090909090909,152.72727272727272,0.6363636363636364
12,0.0029058,0.00460176,0.5454545454545454,152.58333333333334,0.6666666666666666
13,0.00282781,0.00457607,0.4358974358974358,153.30769230769232,0.7692307692307693
14,0.00238972,0.00413202,0.5164835164835165,152.21428571428572,0.7142857142857143
15,0.00236063,0.00411834,0.561904761904762,151.8,0.7333333333333333
16,0.0022751,0.00400118,0.48333333333333334,152.5,0.8125
17,0.00224642,0.0039602,0.5441176470588235,151.76470588235293,0.7647058823529411
18,0.00223309,0.00387336,0.542483660130719,152.0,0.7777777777777778
19,0.00217541,0.00385897,0.543859649122807,152.21052631578948,0.7894736842105263
20,0.00213694,0.00364184,0.5894736842105264,150.8,0.8
21,0.00209021,0.00346716,0.6285714285714286,146.14285714285714,0.7619047619047619
22,0.00208677,0.00339061,0.6277056277056278,146.36363636363637,0.7272727272727273
23,0.002057,0.00314688,0.6047430830039525,146.91304347826087,0.7391304347826086
24,0.0020477,0.00306352,0.608695652173913,147.08333333333334,0.75
25,0.0018377,0.00293216,0.5933333333333333,147.52,0.76
26,0.00182049,0.00261457,0.5753846153846154,148.0,0.8076923076923077
27,0.00179768,0.002592,0.6011396011396013,146.77777777777777,0.7777777777777778
28,0.00174329,0.00254211,0.6137566137566137,146.75,0.7857142857142857
29,0.00163571,0.00240527,0.6256157635467979,146.51724137931035,0.7586206896551724
30,0.00163047,0.00240406,0.6367816091954024,146.23333333333332,0.7333333333333333
31,0.00162765,0.00233584,0.6129032258064516,146.7741935483871,0.7741935483870968
32,0.00160824,0.00229744,0.6290322580645162,146.21875,0.78125
33,0.00159818,0.0022623,0.6515151515151516,143.12121212121212,0.7575757575757576
34,0.00155233,0.00223164,0.6327985739750447,143.6764705882353,0.7647058823529411
35,0.00150851,0.0019721,0.6403361344537816,143.5142857142857,0.7428571428571429
36,0.00149053,0.00188165,0.5777777777777778,144.55555555555554,0.75
37,0.00148131,0.00184317,0.5735735735735735,144.94594594594594,0.7837837837837838
38,0.00148079,0.00176675,0.5533428165007113,145.55263157894737,0.7894736842105263
39,0.00144595,0.00166146,0.5060728744939271,146.43589743589743,0.7948717948717948
40,0.00141496,0.00162613,0.5102564102564103,146.7,0.8
41,0.00136081,0.00154581,0.4609756097560975,147.6341463414634,0.8048780487804879
42,0.00134403,0.00154376,0.4819976771196283,146.6904761904762,0.7857142857142857
43,0.00131484,0.00153811,0.49501661129568103,146.62790697674419,0.7674418604651163
44,0.00130241,0.0014921,0.5137420718816067,145.63636363636363,0.7727272727272727
45,0.00127241,0.00146459,0.5272727272727272,145.11111111111111,0.7555555555555555
46,0.00125628,0.00146345,0.5342995169082126,145.1304347826087,0.7391304347826086
47,0.00124583,0.00144483,0.5300647548566143,145.51063829787233,0.7659574468085106
48,0.0012157,0.00142033,0.5390070921985817,145.375,0.75
49,0.00120316,0.00141734,0.5357142857142856,145.6326530612245,0.7551020408163265
50,0.00116958,0.00141274,0.5428571428571428,145.64,0.74
51,0.00111579,0.00137261,0.5403921568627452,145.84313725490196,0.7647058823529411
52,0.00111376,0.00136587,0.5233785822021116,146.46153846153845,0.7884615384615384
53,0.0011094,0.00133536,0.5312046444121916,146.47169811320754,0.7735849056603774
54,0.00110318,0.00133048,0.5457721872816211,145.77777777777777,0.7777777777777778
55,0.0010947,0.00132098,0.5542087542087543,145.5818181818182,0.7818181818181819
56,0.00106337,0.00131952,0.5610389610389611,145.46428571428572,0.7678571428571429
57,0.00104117,0.00128933,0.5764411027568923,143.98245614035088,0.7543859649122807
58,0.00102067,0.00127085,0.5607985480943738,144.55172413793105,0.7758620689655172
59,0.000988737,0.00125011,0.5686732904734073,144.32203389830508,0.7796610169491526
60,0.000979321,0.00124732,0.5706214689265536,144.41666666666666,0.7666666666666667
61,0.000973643,0.00123109,0.5672131147540983,144.672131147541,0.7868852459016393
62,0.000964093,0.00122317,0.574828133262824,144.41935483870967,0.7741935483870968
63,0.000960456,0.00121791,0.5852534562211981,143.87301587301587,0.7619047619047619
64,0.000950777,0.00121777,0.5873015873015873,143.90625,0.765625
65,0.000946843,0.0011812,0.5759615384615385,144.33846153846153,0.7846153846153846
66,0.000943217,0.00116888,0.5869463869463869,143.62121212121212,0.7727272727272727
67,0.000927141,0.00113365,0.5685210312075984,144.26865671641792,0.7910447761194029
68,0.000912085,0.00112985,0.5759438103599648,143.98529411764707,0.7794117647058824
69,0.000905705,0.00110785,0.577152600170503,144.07246376811594,0.7681159420289855
70,0.00088568,0.00110528,0.580952380952381,144.0,0.7571428571428571
71,0.00088078,0.00109076,0.5621730382293764,144.67605633802816,0.7605633802816901
72,0.000864123,0.00107393,0.571205007824726,144.13888888888889,0.7638888888888888
73,0.000855437,0.00106905,0.5791476407914764,143.72602739726028,0.7671232876712328
74,0.00085168,0.00106899,0.5853387634209553,143.48648648648648,0.7702702702702703
75,0.0008487,0.00105741,0.5884684684684686,143.41333333333333,0.7733333333333333
76,0.000847306,0.00105001,0.5670175438596492,144.17105263157896,0.7763157894736842
77,0.000844206,0.00103069,0.5775803144224196,143.42857142857142,0.7662337662337663
78,0.000835991,0.00102715,0.5837495837495837,143.16666666666666,0.7692307692307693
79,0.000797399,0.00102004,0.5826030509574814,143.30379746835442,0.759493670886076
80,0.000784445,0.00101283,0.5778481012658228,143.5875,0.775
81,0.000774195,0.000992447,0.5629629629629629,144.22222222222223,0.7777777777777778
82,0.000762022,0.000990987,0.5700090334236676,143.9268292682927,0.7682926829268293
83,0.000748353,0.000982979,0.5803702615339407,142.80722891566265,0.7710843373493976
84,0.000740505,0.00091072,0.5783132530120483,143.01190476190476,0.7738095238095238
