N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0112891,0.0138047,1.0,90.5,0.0
3,0.00734964,0.0102285,-0.33333333333333337,91.66666666666667,0.6666666666666666
4,0.00532525,0.00795888,-0.6666666666666669,92.75,0.75
5,0.00513206,0.00702864,0.0,92.4,0.8
6,0.0047856,0.00659894,0.3333333333333333,91.0,0.6666666666666666
7,0.00443994,0.00580884,0.4285714285714286,91.0,0.7142857142857143
8,0.00415206,0.00580223,0.4999999999999999,90.75,0.625
9,0.00368048,0.00522615,0.3333333333333333,91.55555555555556,0.7777777777777778
10,0.00336233,0.00514996,0.4666666666666666,90.7,0.7
11,0.00323256,0.0047554,0.4909090909090909,90.72727272727273,0.6363636363636364
12,0.0029058,0.00460176,0.5454545454545454,90.58333333333333,0.6666666666666666
13,0.00282781,0.00457607,0.4358974358974358,91.3076923076923,0.7692307692307693
14,0.00238972,0.00413202,0.5164835164835165,90.21428571428571,0.7142857142857143
15,0.00236063,0.00411834,0.561904761904762,89.8,0.7333333333333333
16,0.0022751,0.00400118,0.48333333333333334,90.5,0.8125
17,0.00224642,0.0039602,0.5441176470588235,89.76470588235294,0.7647058823529411
18,0.00223309,0.00387336,0.542483660130719,90.0,0.7777777777777778
19,0.00217541,0.00385897,0.543859649122807,90.21052631578948,0.7894736842105263
20,0.00213694,0.00364184,0.5894736842105264,88.8,0.8
21,0.00209021,0.00346716,0.6285714285714286,85.0,0.7619047619047619
22,0.00208677,0.00339061,0.6277056277056278,85.18181818181819,0.7272727272727273
23,0.002057,0.00314688,0.6047430830039525,85.69565217391305,0.7391304347826086
24,0.0020477,0.00306352,0.608695652173913,85.83333333333333,0.75
25,0.0018377,0.00293216,0.5933333333333333,86.24,0.76
26,0.00182049,0.00261457,0.5753846153846154,86.6923076923077,0.8076923076923077
27,0.00179768,0.002592,0.6011396011396013,85.44444444444444,0.7777777777777778
28,0.00174329,0.00254211,0.6137566137566137,85.39285714285714,0.7857142857142857
29,0.00163571,0.00240527,0.6256157635467979,85.13793103448276,0.7586206896551724
30,0.00163047,0.00240406,0.6367816091954024,84.83333333333333,0.7333333333333333
31,0.00162765,0.00233584,0.6129032258064516,85.35483870967742,0.7741935483870968
32,0.00160824,0.00229744,0.6290322580645162,84.78125,0.78125
33,0.00159818,0.0022623,0.6515151515151516,82.75757575757575,0.7575757575757576
34,0.00155233,0.00223164,0.6327985739750447,83.26470588235294,0.7647058823529411
