N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.00643008,0.00302043,1.0,137.0,0.5
3,0.00641819,0.00301116,0.33333333333333337,121.0,0.3333333333333333
4,0.00602457,0.00263673,-0.3333333333333334,91.5,0.5
5,0.00415052,0.00220967,-0.19999999999999998,83.0,0.4
6,0.00374781,0.00134002,0.06666666666666665,112.33333333333333,0.3333333333333333
7,0.00370949,0.00129367,-0.04761904761904762,97.57142857142857,0.2857142857142857
8,0.00334605,0.00124622,-0.07142857142857142,90.25,0.25
9,0.00334171,0.00116251,0.0,87.0,0.2222222222222222
10,0.00323417,0.000972328,0.19999999999999998,107.2,0.2
11,0.00292437,0.00096781,0.23636363636363636,110.81818181818181,0.18181818181818182
12,0.00273032,0.000954432,0.2727272727272727,116.0,0.16666666666666666
13,0.00249965,0.000923261,0.25641025641025633,116.07692307692308,0.15384615384615385
14,0.00244594,0.0008664,0.14285714285714285,109.85714285714286,0.14285714285714285
15,0.00241572,0.000856422,0.04761904761904762,103.8,0.13333333333333333
16,0.00228716,0.000850571,0.03333333333333333,100.1875,0.1875
17,0.00201139,0.000838573,0.10294117647058822,106.70588235294117,0.17647058823529413
18,0.00194032,0.000748969,0.006535947712418302,101.44444444444444,0.2222222222222222
19,0.00191663,0.000724368,0.05263157894736842,103.73684210526316,0.21052631578947367
20,0.00190463,0.000708887,-0.021052631578947368,99.1,0.25
21,0.00186066,0.000696402,-0.009523809523809525,96.95238095238095,0.23809523809523808
22,0.00161205,0.000691268,-0.08225108225108224,93.31818181818181,0.2727272727272727
23,0.00160764,0.000653463,-0.05928853754940712,92.08695652173913,0.2608695652173913
24,0.00152432,0.000621721,-0.10144927536231883,88.625,0.2916666666666667
25,0.00143857,0.000606021,-0.09999999999999998,86.52,0.28
26,0.00140366,0.000591457,-0.12615384615384617,83.38461538461539,0.2692307692307692
27,0.00129681,0.000586962,-0.042735042735042736,90.74074074074075,0.25925925925925924
28,0.00128281,0.000583067,0.0,92.60714285714286,0.25
29,0.00128099,0.00057209,-0.05911330049261083,90.27586206896552,0.27586206896551724
30,0.00122892,0.000566967,-0.0942528735632184,87.93333333333334,0.3
31,0.00120287,0.000539394,-0.062365591397849474,89.12903225806451,0.3225806451612903
32,0.00117607,0.000529501,-0.01612903225806452,91.375,0.3125
33,0.00114344,0.000528598,-0.034090909090909095,88.87878787878788,0.30303030303030304
