N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.00792176,0.0103674,1.0,3894.0,0.5
3,0.00643008,0.00788391,1.0,3894.3333333333335,0.3333333333333333
4,0.00641819,0.00677407,0.3333333333333334,3893.75,0.75
5,0.00602457,0.0062115,0.0,3893.0,1.0
6,0.00415052,0.00497693,0.3333333333333333,3893.1666666666665,0.8333333333333334
7,0.00374781,0.00495309,0.5238095238095238,3896.4285714285716,0.8571428571428571
8,0.00370949,0.00465352,0.5714285714285714,3896.0,0.875
9,0.00334605,0.00429894,0.5,3895.3333333333335,0.8888888888888888
10,0.00334171,0.0042815,0.5555555555555555,3895.1,0.9
11,0.00323417,0.0036847,0.6000000000000001,3895.3636363636365,0.8181818181818182
12,0.00292437,0.0034325,0.6363636363636362,3895.6666666666665,0.75
13,0.00273032,0.0030333,0.6666666666666665,3896.230769230769,0.6923076923076923
14,0.00249965,0.00299932,0.7142857142857144,3899.214285714286,0.6428571428571429
15,0.00244594,0.00290006,0.6571428571428571,3898.6,0.6666666666666666
16,0.00241572,0.00281816,0.5833333333333334,3897.8125,0.75
17,0.00238327,0.00273664,0.5588235294117646,3897.294117647059,0.7647058823529411
18,0.00233463,0.00271768,0.5816993464052289,3897.6666666666665,0.7777777777777778
19,0.00228716,0.00266358,0.5789473684210525,3897.4210526315787,0.7894736842105263
20,0.00201139,0.00265487,0.6210526315789474,3902.3,0.75
21,0.00194032,0.00257717,0.580952380952381,3901.5238095238096,0.7619047619047619
22,0.00191663,0.00246651,0.6017316017316018,3901.818181818182,0.7272727272727273
23,0.00190463,0.00244081,0.5652173913043478,3901.086956521739,0.782608695652174
24,0.00186066,0.00243109,0.5797101449275361,3901.0416666666665,0.75
25,0.00175203,0.00234993,0.5933333333333333,3901.0,0.72
26,0.00164633,0.00234167,0.5815384615384616,3900.653846153846,0.7307692307692307
27,0.00162481,0.00229582,0.54985754985755,3900.0,0.7407407407407407
28,0.00162094,0.00223071,0.544973544973545,3899.6785714285716,0.75
29,0.00161205,0.00221801,0.5270935960591132,3899.1724137931033,0.7931034482758621
30,0.00160764,0.00210548,0.5448275862068965,3899.1666666666665,0.8
31,0.00160761,0.00209827,0.5698924731182796,3899.967741935484,0.8064516129032258
32,0.00152432,0.0019573,0.5443548387096775,3899.375,0.84375
33,0.00143857,0.0019532,0.5378787878787878,3899.030303030303,0.8484848484848485
34,0.00140366,0.00193238,0.5472370766488415,3898.8823529411766,0.8235294117647058
35,0.00139087,0.00192169,0.5294117647058824,3898.4,0.8571428571428571
36,0.00136065,0.00185419,0.5460317460317461,3898.8055555555557,0.8611111111111112
37,0.00133488,0.00182756,0.5675675675675677,3900.4324324324325,0.8648648648648649
38,0.00129681,0.00181769,0.5846372688477952,3901.7894736842104,0.8421052631578947
39,0.00128281,0.00176671,0.5897435897435898,3901.8205128205127,0.8205128205128205
40,0.00128099,0.00170837,0.5615384615384615,3901.15,0.825
41,0.00122892,0.00167498,0.5658536585365854,3900.878048780488,0.8292682926829268
42,0.00121581,0.0016225,0.570267131242741,3900.785714285714,0.8095238095238095
43,0.00120287,0.00158631,0.5769656699889257,3900.8372093023254,0.7906976744186046
44,0.00117607,0.00156813,0.5877378435517969,3901.0454545454545,0.7727272727272727
45,0.00117338,0.00156498,0.5777777777777777,3900.6222222222223,0.7777777777777778
46,0.00116781,0.00151368,0.5806763285024156,3900.5652173913045,0.782608695652174
47,0.00114881,0.00149759,0.5929694727104533,3901.0,0.7659574468085106
48,0.00114344,0.00148871,0.6046099290780141,3901.6041666666665,0.75
49,0.00113572,0.00148125,0.5986394557823128,3901.265306122449,0.7755102040816326
50,0.0011326,0.001447,0.5951020408163266,3901.06,0.78
51,0.00112263,0.00141915,0.5984313725490197,3901.0392156862745,0.7843137254901961
52,0.00112191,0.0014093,0.6138763197586727,3905.846153846154,0.7692307692307693
53,0.00112067,0.00138893,0.6052249637155298,3905.433962264151,0.7924528301886793
54,0.0011159,0.00133468,0.6114605171208944,3905.4814814814813,0.7777777777777778
55,0.00105204,0.00129456,0.6188552188552189,3905.690909090909,0.7636363636363637
56,0.00102768,0.00128663,0.6220779220779221,3905.6428571428573,0.7678571428571429
57,0.00097689,0.00127687,0.6303258145363408,3905.9473684210525,0.7543859649122807
58,0.000963425,0.00124894,0.6249243799153055,3905.655172413793,0.7758620689655172
59,0.000948301,0.00124227,0.6364699006428989,3907.762711864407,0.7796610169491526
60,0.000935303,0.00119186,0.6282485875706214,3907.383333333333,0.7833333333333333
61,0.000927673,0.00116092,0.6131147540983606,3906.8032786885246,0.8032786885245902
62,0.00091881,0.00115395,0.5980962453728187,3906.2096774193546,0.8225806451612904
63,0.000907578,0.00111623,0.6057347670250895,3906.4285714285716,0.8095238095238095
64,0.000903664,0.00111213,0.6061507936507936,3906.234375,0.796875
65,0.000902607,0.00109917,0.5932692307692308,3905.6769230769232,0.8153846153846154
66,0.000897397,0.00109512,0.5916083916083915,3905.3939393939395,0.8333333333333334
67,0.000895385,0.00107144,0.5811849841700588,3904.910447761194,0.835820895522388
68,0.000875967,0.0010695,0.5697980684811238,3904.3970588235293,0.8382352941176471
69,0.000867523,0.00106247,0.5498721227621484,3903.710144927536,0.855072463768116
70,0.000826356,0.0010169,0.5138716356107661,3902.714285714286,0.8571428571428571
71,0.000822456,0.00100945,0.5227364185110664,3902.830985915493,0.8450704225352113
72,0.000812761,0.00100753,0.5289514866979655,3902.8055555555557,0.8333333333333334
73,0.000804481,0.00100246,0.5388127853881279,3903.013698630137,0.821917808219178
74,0.000799767,0.000996376,0.5349870418363569,3902.6216216216217,0.8243243243243243
75,0.000788795,0.000995603,0.5380180180180181,3902.4266666666667,0.84
