N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.0869796,-1.0,4.0,1.0
3,0.0115281,0.016985,0.33333333333333337,4.0,1.5
4,0.00707264,0.0112008,0.6666666666666669,3.5,1.0
5,0.00705449,0.0105749,0.7999999999999999,2.8,0.75
6,0.00676817,0.00975349,0.6,3.1666666666666665,1.0
7,0.00622213,0.00637761,0.7142857142857143,6.285714285714286,0.8333333333333334
8,0.00615348,0.00633617,0.7857142857142856,10.125,0.7142857142857143
9,0.00523558,0.005269,0.7222222222222222,9.222222222222221,0.75
10,0.00454685,0.00448152,0.6444444444444444,8.7,0.7777777777777778
11,0.0043589,0.0042034,0.7090909090909091,11.727272727272727,0.8
12,0.00432759,0.00349434,0.5757575757575757,11.416666666666666,0.8181818181818182
13,0.00406731,0.00281899,0.564102564102564,10.846153846153847,0.8333333333333334
14,0.00384192,0.00277784,0.5604395604395604,11.214285714285714,0.7692307692307693
15,0.00345763,0.00173139,0.5428571428571429,10.666666666666666,0.7142857142857143
16,0.00342922,0.00165894,0.39999999999999997,11.0,0.8
17,0.00340631,0.00162374,0.4705882352941176,15.176470588235293,0.75
18,0.0033726,0.0016224,0.46405228758169936,14.5,0.7058823529411765
19,0.00332147,0.00159684,0.5087719298245613,16.31578947368421,0.7222222222222222
20,0.00309363,0.00141224,0.5578947368421052,22.6,0.6842105263157895
21,0.00308609,0.00135198,0.6,28.61904761904762,0.65
22,0.00308175,0.00127629,0.567099567099567,27.59090909090909,0.6190476190476191
23,0.00300105,0.00126816,0.4782608695652174,27.26086956521739,0.6363636363636364
24,0.0029752,0.000852331,0.4565217391304348,26.416666666666668,0.6521739130434783
25,0.00274122,0.000823196,0.4599999999999999,25.72,0.625
26,0.00257086,0.000693382,0.47692307692307695,25.846153846153847,0.6
27,0.00250887,0.000689668,0.4757834757834758,25.22222222222222,0.5769230769230769
28,0.00245788,0.000651403,0.5132275132275131,30.178571428571427,0.5555555555555556
29,0.00245559,0.000628999,0.4827586206896551,29.448275862068964,0.5714285714285714
30,0.00240868,0.000562421,0.4574712643678161,28.566666666666666,0.5517241379310345
31,0.00239229,0.000558441,0.42795698924731185,28.032258064516128,0.6
32,0.00231032,0.000523621,0.44758064516129037,28.59375,0.6129032258064516
33,0.00220988,0.000499465,0.4242424242424242,28.0,0.625
34,0.00218124,0.000493869,0.41532976827094475,27.264705882352942,0.6363636363636364
35,0.00216174,0.000482056,0.42521008403361343,27.02857142857143,0.6470588235294118
36,0.00213324,0.00046728,0.4412698412698413,27.333333333333332,0.6571428571428571
37,0.00212806,0.000462171,0.3993993993993994,27.324324324324323,0.6666666666666666
38,0.00212217,0.000456386,0.3655761024182077,27.236842105263158,0.7027027027027027
39,0.00195836,0.000455066,0.37112010796221323,26.794871794871796,0.6842105263157895
40,0.00192256,0.000431651,0.3717948717948718,26.125,0.6923076923076923
41,0.00190602,0.000413749,0.39999999999999997,28.73170731707317,0.675
42,0.00186188,0.00040414,0.4285714285714286,49.54761904761905,0.6585365853658537
43,0.00181967,0.000367978,0.42414174972314506,48.41860465116279,0.6428571428571429
44,0.00179124,0.000332368,0.4482029598308668,52.70454545454545,0.6511627906976745
45,0.00178944,0.000324232,0.41212121212121205,52.24444444444445,0.6590909090909091
46,0.00175251,0.000305172,0.4202898550724638,51.65217391304348,0.6444444444444445
47,0.00172984,0.000295886,0.4449583718778909,87.95744680851064,0.6304347826086957
48,0.00172141,0.000291218,0.4343971631205674,86.35416666666667,0.6595744680851063
49,0.00170234,0.000254839,0.4540816326530612,92.22448979591837,0.6666666666666666
50,0.00167736,0.000253455,0.4497959183673469,90.38,0.6530612244897959
51,0.00158886,0.000229057,0.4352941176470589,88.92156862745098,0.66
52,0.00156835,0.000217857,0.42986425339366513,87.3076923076923,0.6666666666666666
53,0.00153907,0.000217787,0.39477503628447025,86.45283018867924,0.6923076923076923
54,0.00151847,0.000212178,0.4116002795248078,88.38888888888889,0.6981132075471698
55,0.00148544,0.000199843,0.4033670033670034,87.03636363636363,0.7037037037037037
56,0.00147764,0.000199818,0.4142857142857143,87.46428571428571,0.6909090909090909
57,0.00146153,0.000196354,0.42857142857142866,88.75438596491227,0.6964285714285714
58,0.0014468,0.000193546,0.4422262552934058,90.01724137931035,0.7017543859649122
59,0.00142389,0.000190144,0.4412624196376388,88.52542372881356,0.7068965517241379
60,0.00136836,0.000181896,0.41694915254237286,87.68333333333334,0.711864406779661
61,0.00131379,0.000181503,0.4229508196721311,86.88524590163935,0.7
62,0.00128386,0.000177418,0.4383923849814913,89.37096774193549,0.6885245901639344
63,0.00126751,0.000168503,0.42959549411162307,88.22222222222223,0.6935483870967742
64,0.00126365,0.000162166,0.42857142857142855,86.890625,0.6825396825396826
65,0.00122364,0.000161893,0.42980769230769234,85.67692307692307,0.6875
66,0.00121874,0.000161288,0.4461538461538461,110.0909090909091,0.676923076923077
67,0.00121115,0.000155596,0.44278606965174133,108.50746268656717,0.6818181818181818
68,0.00120899,0.000153102,0.4381035996488147,107.07352941176471,0.6865671641791045
69,0.00119134,0.00014753,0.40579710144927533,106.40579710144928,0.6911764705882353
70,0.00117835,0.000142893,0.3995859213250518,105.14285714285714,0.6956521739130435
71,0.00116566,0.000137579,0.4036217303822938,103.91549295774648,0.7
72,0.0011633,0.000136274,0.4061032863849765,102.52777777777777,0.704225352112676
73,0.00115745,0.000134031,0.3926940639269407,101.58904109589041,0.7083333333333334
74,0.00115724,0.000128405,0.40244353942984085,102.02702702702703,0.6986301369863014
75,0.00114341,0.000126698,0.4018018018018018,100.73333333333333,0.7162162162162162
76,0.0011351,0.00012376,0.4098245614035088,100.71052631578948,0.7066666666666667
77,0.0011189,0.000111138,0.3861927546138072,100.1948051948052,0.7236842105263158
78,0.00110062,0.000107574,0.39926739926739924,102.97435897435898,0.7272727272727273
79,0.00108719,0.000107511,0.4099318403115872,104.0,0.717948717948718
80,0.00108576,0.000105752,0.41645569620253164,104.05,0.7215189873417721
81,0.00107552,0.000104063,0.4191358024691358,103.09876543209876,0.7125
82,0.00106154,0.000103636,0.4302920806985848,105.08536585365853,0.7160493827160493
83,0.00103281,0.000103618,0.42991478107552156,103.81927710843374,0.7073170731707317
84,0.00102408,0.000103289,0.44176706827309237,107.01190476190476,0.6987951807228916
85,0.00100456,0.000101325,0.4196078431372549,106.54117647058824,0.7023809523809523
86,0.00100321,9.79535e-05,0.4216142270861833,105.63953488372093,0.6941176470588235
87,0.00100116,9.68598e-05,0.42635658914728675,105.54022988505747,0.6976744186046512
88,0.000977609,9.4461e-05,0.4278996865203762,104.7840909090909,0.6896551724137931
89,0.00097205,9.3427e-05,0.43973442288049036,115.50561797752809,0.6818181818181818
90,0.000956764,9.29428e-05,0.44069912609238454,114.96666666666667,0.6741573033707865
91,0.000950584,9.06593e-05,0.4339438339438339,114.0,0.6777777777777778
92,0.000946068,9.02522e-05,0.4151935021500239,113.48913043478261,0.6813186813186813
93,0.000942495,9.0061e-05,0.42589995324918184,118.76344086021506,0.6847826086956522
94,0.000927031,8.44822e-05,0.42667581789064285,117.8936170212766,0.6774193548387096
95,0.000876208,8.38481e-05,0.43784994400895855,128.44210526315788,0.6702127659574468
96,0.000856037,8.19918e-05,0.43947368421052624,127.85416666666667,0.6631578947368421
97,0.000842154,8.03179e-05,0.44888316151202756,133.88659793814432,0.65625
98,0.000842133,7.72563e-05,0.4445613296865138,132.73469387755102,0.6597938144329897
99,0.000833834,7.6401e-05,0.4425891568748712,131.42424242424244,0.6530612244897959
100,0.000828925,6.74686e-05,0.4537373737373738,168.28,0.6464646464646465
101,0.000828169,6.71088e-05,0.4443564356435645,167.05940594059405,0.65
102,0.000826516,6.5037e-05,0.4265191225004853,166.16666666666666,0.6534653465346535
103,0.000824988,6.29345e-05,0.4292785075195127,165.33009708737865,0.6568627450980392
104,0.000812393,6.23608e-05,0.439880507841673,184.51923076923077,0.6601941747572816
105,0.000807232,6.1167e-05,0.4501831501831501,206.15238095238095,0.6538461538461539
106,0.000803242,5.97149e-05,0.4548068283917341,205.73584905660377,0.6571428571428571
107,0.000802107,5.80909e-05,0.4523011814494798,203.84112149532712,0.6509433962264151
