N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.122545,1.0,1.0,1.0
3,0.0132962,0.0409036,1.0,3.3333333333333335,0.6666666666666666
4,0.0115281,0.022779,0.6666666666666669,3.0,0.75
5,0.00707264,0.0217305,0.6,2.6,0.6
6,0.00705449,0.0208342,0.4666666666666666,2.6666666666666665,0.6666666666666666
7,0.00676817,0.0205122,0.4285714285714286,2.5714285714285716,0.8571428571428571
8,0.00670059,0.0161976,0.5714285714285714,3.125,0.75
9,0.00622213,0.0148661,0.6666666666666666,5.222222222222222,0.6666666666666666
10,0.00621296,0.0145873,0.6888888888888888,6.2,0.6
11,0.00615348,0.0130376,0.7454545454545454,7.545454545454546,0.5454545454545454
12,0.00600937,0.0129211,0.5757575757575757,7.583333333333333,0.6666666666666666
13,0.0054696,0.0126794,0.564102564102564,7.230769230769231,0.6153846153846154
14,0.00527524,0.0119038,0.4945054945054945,7.214285714285714,0.6428571428571429
15,0.00523558,0.0115334,0.4666666666666667,6.933333333333334,0.6666666666666666
16,0.00496658,0.0103973,0.41666666666666663,6.9375,0.75
17,0.00488412,0.0102911,0.4411764705882352,6.882352941176471,0.7647058823529411
18,0.00466055,0.00986084,0.5032679738562092,37.833333333333336,0.7222222222222222
19,0.00456843,0.00892445,0.543859649122807,37.31578947368421,0.6842105263157895
20,0.00454685,0.00891463,0.5263157894736842,35.45,0.65
21,0.00436353,0.00890062,0.5047619047619049,33.95238095238095,0.7142857142857143
22,0.0043589,0.0082867,0.5324675324675324,33.40909090909091,0.6818181818181818
23,0.00434135,0.0077795,0.549407114624506,32.56521739130435,0.6521739130434783
24,0.00432759,0.00704321,0.5,31.666666666666668,0.7083333333333334
25,0.00413664,0.00666693,0.5333333333333332,33.48,0.68
26,0.00406731,0.0064927,0.5076923076923078,32.5,0.7307692307692307
27,0.00401162,0.0063368,0.49287749287749294,31.51851851851852,0.7407407407407407
28,0.00387225,0.00614256,0.4285714285714285,31.107142857142858,0.75
29,0.00384192,0.00566438,0.4482758620689654,30.379310344827587,0.7241379310344828
30,0.00374628,0.00555846,0.4666666666666667,29.766666666666666,0.7
31,0.00371083,0.00552673,0.4709677419354839,28.870967741935484,0.6774193548387096
32,0.00358594,0.00549353,0.5000000000000001,33.65625,0.6875
33,0.00345763,0.00498974,0.4848484848484849,32.90909090909091,0.7272727272727273
34,0.00342922,0.00498678,0.4581105169340464,32.38235294117647,0.7647058823529411
35,0.00340631,0.00492344,0.4789915966386554,32.34285714285714,0.7428571428571429
36,0.00339288,0.00488005,0.47936507936507944,31.47222222222222,0.75
37,0.0033726,0.00458988,0.4294294294294294,31.35135135135135,0.7567567567567568
38,0.00332147,0.00448319,0.44807965860597443,31.18421052631579,0.7631578947368421
39,0.00309363,0.00440954,0.46828609986504727,31.794871794871796,0.7435897435897436
40,0.00308609,0.00423256,0.4897435897435898,32.75,0.75
41,0.00308175,0.00402103,0.4902439024390244,31.975609756097562,0.7560975609756098
42,0.00300105,0.00360881,0.4518002322880372,31.88095238095238,0.7619047619047619
43,0.00297695,0.00350724,0.47065337763012177,32.627906976744185,0.7674418604651163
44,0.0029752,0.00320155,0.4566596194503171,32.27272727272727,0.7727272727272727
45,0.00288886,0.00311787,0.46868686868686865,32.28888888888889,0.7777777777777778
46,0.00287918,0.00297947,0.48212560386473435,32.65217391304348,0.7608695652173914
47,0.00285927,0.00288351,0.45975948196114713,32.48936170212766,0.7659574468085106
48,0.00274122,0.00278014,0.45921985815602845,31.958333333333332,0.7916666666666666
49,0.00273933,0.00272472,0.48129251700680264,46.69387755102041,0.7755102040816326
50,0.00267516,0.00267833,0.4873469387755102,46.14,0.76
51,0.00257086,0.00266879,0.4933333333333334,45.64705882352941,0.7450980392156863
52,0.00250887,0.00266161,0.493212669683258,44.82692307692308,0.7307692307692307
53,0.00246639,0.00264518,0.48040638606676345,44.339622641509436,0.7358490566037735
54,0.00245788,0.00262285,0.4926624737945492,44.48148148148148,0.7222222222222222
55,0.00245559,0.00257799,0.4814814814814815,44.018181818181816,0.7272727272727273
56,0.002449,0.00253354,0.4961038961038961,44.80357142857143,0.7321428571428571
57,0.00240868,0.0024806,0.4912280701754386,44.26315789473684,0.7368421052631579
58,0.00239229,0.00246745,0.49062310949788257,43.51724137931034,0.7413793103448276
59,0.00239205,0.00242838,0.5032144944476913,43.88135593220339,0.7288135593220338
60,0.0023546,0.00227893,0.5163841807909605,45.266666666666666,0.7166666666666667
61,0.00232599,0.00219205,0.5300546448087432,48.295081967213115,0.7049180327868853
62,0.00231675,0.00217597,0.5081967213114754,48.096774193548384,0.7096774193548387
63,0.00231032,0.0021027,0.5104966717869943,47.77777777777778,0.6984126984126984
64,0.00220988,0.00208636,0.49107142857142855,47.578125,0.71875
65,0.00218124,0.0020726,0.48653846153846164,47.01538461538462,0.7230769230769231
66,0.00216174,0.00198803,0.48904428904428904,46.621212121212125,0.7121212121212122
67,0.00213324,0.00198796,0.4871099050203529,45.97014925373134,0.7313432835820896
68,0.00212806,0.00197444,0.47497805092186124,45.73529411764706,0.7352941176470589
69,0.00212217,0.00185937,0.46888320545609546,45.405797101449274,0.7391304347826086
70,0.00203589,0.00180078,0.45010351966873713,45.357142857142854,0.7571428571428571
71,0.00201783,0.00177099,0.4462776659959759,45.014084507042256,0.7605633802816901
72,0.00195836,0.00175384,0.45383411580594674,44.833333333333336,0.75
73,0.00192256,0.00172275,0.4497716894977169,44.49315068493151,0.7671232876712328
74,0.00190602,0.00172141,0.4601999259533507,44.74324324324324,0.7567567567567568
75,0.00188633,0.00170451,0.47099099099099107,45.08,0.7466666666666667
76,0.00186188,0.00168323,0.48140350877192994,45.526315789473685,0.7368421052631579
77,0.00184975,0.00168179,0.4832535885167464,45.12987012987013,0.7272727272727273
78,0.00183452,0.00168016,0.4931734931734932,45.61538461538461,0.717948717948718
79,0.00181967,0.00164,0.49042518662771833,45.177215189873415,0.7341772151898734
80,0.00179396,0.00163545,0.4962025316455696,45.0625,0.725
81,0.00179124,0.00155869,0.5067901234567901,46.82716049382716,0.7160493827160493
82,0.00178944,0.00150229,0.4965371875940982,46.707317073170735,0.7195121951219512
83,0.00175251,0.00147225,0.49808992065824265,46.325301204819276,0.7108433734939759
84,0.00172984,0.00147151,0.5100401606425703,55.75,0.7023809523809523
85,0.00172141,0.00146248,0.5109243697478992,55.28235294117647,0.6941176470588235
86,0.00170234,0.00144637,0.5206566347469219,59.52325581395349,0.686046511627907
87,0.00167736,0.00141869,0.5188452285485164,58.9080459770115,0.6781609195402298
88,0.00167489,0.00139112,0.5088819226750262,58.68181818181818,0.6931818181818182
89,0.00162548,0.00136468,0.515832482124617,58.853932584269664,0.6853932584269663
90,0.00158886,0.00136467,0.5056179775280899,58.666666666666664,0.6888888888888889
91,0.00156835,0.0013382,0.5018315018315018,58.175824175824175,0.6923076923076923
92,0.00156108,0.00132959,0.5097945532728141,58.90217391304348,0.6956521739130435
93,0.00155851,0.00132796,0.5133239831697055,58.666666666666664,0.6989247311827957
94,0.00155582,0.00128989,0.5209334248455731,59.58510638297872,0.7021276595744681
95,0.00153907,0.00127068,0.5023516237402015,59.642105263157895,0.7157894736842105
96,0.00152594,0.00126078,0.5096491228070175,60.385416666666664,0.71875
97,0.00151847,0.00125161,0.5154639175257734,60.81443298969072,0.711340206185567
98,0.00150353,0.00124615,0.5181990321901957,60.63265306122449,0.7040816326530612
99,0.00148544,0.00123475,0.5102040816326532,60.39393939393939,0.7171717171717171
100,0.00147764,0.00121724,0.5151515151515152,60.56,0.71
101,0.00146368,0.00121637,0.506930693069307,60.386138613861384,0.7128712871287128
102,0.00146153,0.00120575,0.5103863327509222,60.245098039215684,0.7156862745098039
103,0.00144759,0.00119595,0.5023795926137445,60.067961165048544,0.7281553398058253
104,0.0014468,0.00113783,0.5078416728902166,60.33653846153846,0.7211538461538461
105,0.00142389,0.00111966,0.5025641025641024,60.05714285714286,0.7333333333333333
106,0.00138729,0.00111376,0.49685534591194974,59.820754716981135,0.7358490566037735
107,0.00136836,0.0011083,0.4886263445600424,59.700934579439256,0.7476635514018691
108,0.00132986,0.0011012,0.48978885427483554,59.28703703703704,0.75
109,0.00132788,0.00109752,0.48589874277947676,59.018348623853214,0.7522935779816514
110,0.00132235,0.00107021,0.47589658048373634,59.00909090909091,0.7545454545454545
111,0.00131379,0.00106952,0.4771498771498771,58.549549549549546,0.7567567567567568
112,0.00130761,0.00105436,0.4845559845559845,59.357142857142854,0.75
113,0.00129281,0.00105237,0.486409608091024,58.991150442477874,0.7433628318584071
114,0.00128483,0.00104379,0.48051544791181494,58.85964912280702,0.7456140350877193
115,0.00128386,0.00104129,0.488329519450801,60.721739130434784,0.7391304347826086
116,0.00126751,0.00103571,0.48425787106446777,60.5,0.7413793103448276
117,0.00126365,0.00101745,0.4842322428529325,60.02564102564103,0.7521367521367521
118,0.00126303,0.00101496,0.47732869766768077,59.94915254237288,0.7542372881355932
119,0.00123106,0.00100845,0.4846887907705456,61.403361344537814,0.7478991596638656
120,0.00122852,0.00100521,0.4896358543417366,61.59166666666667,0.75
121,0.00122364,0.000999362,0.49035812672176304,61.11570247933884,0.743801652892562
122,0.00121874,0.000991354,0.49817097954206746,65.09016393442623,0.7377049180327869
123,0.00121115,0.000989711,0.4938024790083966,64.83739837398375,0.7398373983739838
124,0.00120993,0.000974135,0.4891161814843954,64.64516129032258,0.75
125,0.00120899,0.000894406,0.4867096774193548,64.328,0.76
126,0.00120823,0.000885337,0.48800000000000004,63.8968253968254,0.7619047619047619
127,0.0012054,0.000862796,0.4913135858017747,63.71653543307087,0.7559055118110236
128,0.00119134,0.000849495,0.48056102362204733,63.8203125,0.7578125
129,0.00118926,0.00084262,0.47601744186046513,63.674418604651166,0.7596899224806202
130,0.00118845,0.000842349,0.48026237328562904,63.676923076923075,0.7538461538461538
131,0.00117857,0.000826616,0.4877275396359366,67.94656488549619,0.7557251908396947
132,0.00117835,0.00082353,0.4855424473745084,67.65151515151516,0.7651515151515151
133,0.00117434,0.000812187,0.48781043517885625,67.3157894736842,0.7593984962406015
134,0.00116566,0.000801423,0.48961957131635053,66.93283582089552,0.753731343283582
135,0.0011633,0.000800388,0.48745163073521286,66.65925925925926,0.7555555555555555
136,0.00115745,0.000796608,0.48082788671023957,66.63235294117646,0.7573529411764706
137,0.00115724,0.000795637,0.48518677544010297,66.68613138686132,0.7591240875912408
138,0.00114341,0.000791659,0.47953030783878137,66.6231884057971,0.7681159420289855
139,0.0011351,0.000765362,0.48472526326764676,66.94244604316546,0.762589928057554
140,0.00113401,0.000763304,0.4875642343268243,66.76428571428572,0.7571428571428571
141,0.00112973,0.000758359,0.4897669706180344,66.45390070921985,0.75177304964539
142,0.00112149,0.000755916,0.48916192188592544,66.08450704225352,0.7605633802816901
143,0.0011189,0.000749113,0.48251748251748244,66.0979020979021,0.7622377622377622
144,0.00111325,0.000729386,0.48387723387723386,65.6875,0.7569444444444444
145,0.00110987,0.000725073,0.4837164750957854,65.31724137931035,0.7655172413793103
146,0.00110276,0.000719388,0.48946622579121396,66.44520547945206,0.7671232876712328
147,0.00110062,0.000718438,0.49417575249277795,66.72108843537416,0.7619047619047619
148,0.00108819,0.000704989,0.4962309248023534,66.45270270270271,0.7567567567567568
149,0.00108719,0.000697441,0.49809541084708864,66.16107382550335,0.7583892617449665
150,0.00108576,0.000692194,0.5010290827740491,66.02666666666667,0.7533333333333333
151,0.00107561,0.000688883,0.5076379690949226,70.72185430463576,0.7549668874172185
152,0.00107552,0.000675766,0.5052283025444406,70.46710526315789,0.7631578947368421
153,0.00106154,0.000667695,0.5104919160646716,72.18954248366013,0.7581699346405228
154,0.00105626,0.000660992,0.5160003395297512,74.6948051948052,0.7532467532467533
155,0.00103519,0.000656991,0.5098449937159614,74.65806451612903,0.7548387096774194
156,0.00103281,0.000654928,0.5050454921422664,74.5576923076923,0.7628205128205128
157,0.00102408,0.000653617,0.5100440960313571,76.28025477707007,0.7643312101910829
158,0.00100552,0.000649816,0.5038297186164639,76.25949367088607,0.7658227848101266
159,0.00100456,0.000647881,0.4941485550513494,76.40880503144655,0.7672955974842768
160,0.00100321,0.000644028,0.494811320754717,75.94375,0.7625
161,0.00100116,0.000633984,0.499223602484472,76.73913043478261,0.7577639751552795
