N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.00159194,-1.0,6.0,1.0
3,0.0132962,0.000428052,0.33333333333333337,36.0,0.6666666666666666
4,0.0115281,0.000426974,0.3333333333333334,27.25,0.5
5,0.00707264,0.000412818,0.19999999999999998,22.6,0.4
6,0.00705449,0.000371723,0.06666666666666665,19.833333333333332,0.5
7,0.00676817,0.000340264,0.23809523809523814,17.0,0.5714285714285714
8,0.00670059,0.000335739,0.3571428571428571,15.375,0.5
9,0.00622213,0.000303826,0.4444444444444444,15.777777777777779,0.5555555555555556
10,0.00621296,0.000289097,0.5111111111111111,19.4,0.5
11,0.00615348,0.000264755,0.5636363636363636,25.272727272727273,0.45454545454545453
12,0.00600937,0.000254056,0.3636363636363636,24.25,0.5
13,0.0054696,0.000237204,0.3589743589743589,22.53846153846154,0.5384615384615384
14,0.00527524,0.000224608,0.3406593406593407,20.928571428571427,0.5
15,0.00523558,0.000195433,0.3523809523809524,19.8,0.4666666666666667
16,0.00496658,0.000177914,0.21666666666666667,19.75,0.5
17,0.00488412,0.000160862,0.24999999999999997,19.0,0.47058823529411764
18,0.00466055,0.000160341,0.33333333333333337,203.61111111111111,0.5
19,0.00456843,0.000153683,0.3684210526315789,196.6315789473684,0.47368421052631576
20,0.00454685,0.000151277,0.3473684210526316,186.95,0.5
21,0.00436353,0.000133095,0.29523809523809524,178.57142857142858,0.5714285714285714
22,0.0043589,0.000129217,0.3246753246753246,173.36363636363637,0.5454545454545454
23,0.00434135,0.000124938,0.3754940711462451,170.04347826086956,0.5652173913043478
24,0.00432759,0.000121089,0.3115942028985507,163.75,0.5833333333333334
25,0.00413664,0.000109618,0.35999999999999993,238.12,0.6
26,0.00406731,0.000106632,0.36000000000000004,229.53846153846155,0.5769230769230769
27,0.00401162,0.000106502,0.3162393162393163,221.62962962962962,0.5925925925925926
28,0.00387225,9.59283e-05,0.2380952380952381,214.78571428571428,0.6071428571428571
29,0.00384192,9.06967e-05,0.25123152709359603,207.82758620689654,0.5862068965517241
30,0.00374628,7.89614e-05,0.28735632183908044,203.36666666666667,0.6
31,0.00371083,7.82285e-05,0.28602150537634413,196.90322580645162,0.5806451612903226
32,0.00358594,7.75286e-05,0.32258064516129037,205.9375,0.5625
33,0.00345763,7.53355e-05,0.29924242424242425,200.21212121212122,0.5757575757575758
34,0.00342922,7.23713e-05,0.251336898395722,195.2058823529412,0.6176470588235294
35,0.00340631,7.0901e-05,0.28403361344537814,192.42857142857142,0.6
36,0.00339288,7.04133e-05,0.2761904761904762,187.38888888888889,0.6111111111111112
37,0.0033726,6.88982e-05,0.2642642642642643,182.72972972972974,0.6216216216216216
38,0.00332147,6.8029e-05,0.29445234708392604,180.68421052631578,0.6052631578947368
39,0.00309363,6.73791e-05,0.32253711201079627,181.66666666666666,0.5897435897435898
40,0.00308609,6.63883e-05,0.34871794871794876,184.075,0.6
41,0.00308175,6.60909e-05,0.3463414634146341,179.70731707317074,0.5853658536585366
42,0.00300105,6.51301e-05,0.29849012775842043,176.38095238095238,0.5952380952380952
43,0.00297695,6.47372e-05,0.32447397563676633,181.3953488372093,0.5813953488372093
44,0.0029752,6.42502e-05,0.32346723044397463,177.3409090909091,0.5681818181818182
45,0.00288886,6.24138e-05,0.32727272727272727,174.33333333333334,0.5555555555555556
