N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.0869796,-1.0,4.0,1.0
3,0.0132962,0.016985,0.33333333333333337,42.333333333333336,0.6666666666666666
4,0.0115281,0.0120535,0.3333333333333334,33.0,0.75
5,0.00707264,0.0114629,0.39999999999999997,26.6,0.6
6,0.00705449,0.0112008,0.4666666666666666,22.833333333333332,0.5
7,0.00676817,0.0105749,0.33333333333333337,20.142857142857142,0.5714285714285714
8,0.00670059,0.00975349,0.42857142857142855,18.25,0.625
9,0.00622213,0.00830613,0.5,21.555555555555557,0.5555555555555556
10,0.00621296,0.00637761,0.5111111111111111,22.5,0.5
11,0.00615348,0.00633617,0.5636363636363636,27.0,0.45454545454545453
12,0.00600937,0.00630081,0.4545454545454545,25.333333333333332,0.5
13,0.0054696,0.00610912,0.4358974358974358,23.846153846153847,0.46153846153846156
14,0.00527524,0.005269,0.2967032967032967,23.142857142857142,0.5714285714285714
15,0.00523558,0.00448152,0.2761904761904762,21.8,0.5333333333333333
16,0.00496658,0.0042034,0.2333333333333333,20.875,0.625
17,0.00488412,0.00409105,0.2647058823529411,20.11764705882353,0.6470588235294118
18,0.00466055,0.00359719,0.34640522875817,85.88888888888889,0.6111111111111112
19,0.00456843,0.00349434,0.391812865497076,85.63157894736842,0.5789473684210527
20,0.00454685,0.00294202,0.3473684210526316,81.8,0.6
21,0.00436353,0.00281899,0.33333333333333337,78.14285714285714,0.6190476190476191
22,0.0043589,0.00277784,0.36796536796536794,78.04545454545455,0.5909090909090909
23,0.00434135,0.00208495,0.40711462450592883,78.26086956521739,0.6086956521739131
24,0.00432759,0.00191177,0.34057971014492755,75.70833333333333,0.625
25,0.00413664,0.00173139,0.3866666666666666,105.12,0.6
26,0.00406731,0.00165894,0.36615384615384616,101.42307692307692,0.6153846153846154
27,0.00401162,0.00162374,0.3618233618233619,97.85185185185185,0.5925925925925926
28,0.00387225,0.0016224,0.2857142857142857,95.32142857142857,0.6071428571428571
29,0.00384192,0.00160503,0.29556650246305416,92.89655172413794,0.6206896551724138
30,0.00374628,0.00159684,0.30114942528735633,90.5,0.6
31,0.00371083,0.00141224,0.2989247311827957,87.6774193548387,0.5806451612903226
32,0.00358594,0.00137645,0.33467741935483875,92.78125,0.5625
33,0.00345763,0.00135198,0.3181818181818182,90.3030303030303,0.5757575757575758
34,0.00342922,0.00132465,0.25846702317290554,88.58823529411765,0.5882352941176471
35,0.00340631,0.00127629,0.29075630252100837,90.4,0.5714285714285714
36,0.00339288,0.00127404,0.2888888888888889,87.91666666666667,0.5833333333333334
37,0.0033726,0.00126816,0.2792792792792793,85.83783783783784,0.5945945945945946
38,0.00332147,0.00120993,0.30583214793741115,85.84210526315789,0.6052631578947368
39,0.00309363,0.000970855,0.3360323886639676,90.6923076923077,0.6153846153846154
40,0.00308609,0.000887705,0.36410256410256414,95.575,0.6
41,0.00308175,0.000852331,0.36097560975609755,93.51219512195122,0.5853658536585366
42,0.00300105,0.000828905,0.3170731707317073,92.14285714285714,0.5952380952380952
43,0.00297695,0.000823196,0.34440753045404204,97.16279069767442,0.5813953488372093
44,0.0029752,0.000767867,0.32980972515856233,95.29545454545455,0.5909090909090909
45,0.00288886,0.000702667,0.3353535353535353,94.26666666666667,0.6
46,0.00287918,0.000693382,0.35072463768115947,94.65217391304348,0.5869565217391305
