N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.122545,1.0,3.0,1.0
3,0.0132962,0.0409036,1.0,4.0,0.6666666666666666
4,0.0115281,0.022779,0.6666666666666669,4.0,0.75
5,0.00707264,0.0217305,0.6,3.4,0.6
6,0.00705449,0.0208342,0.4666666666666666,3.6666666666666665,0.6666666666666666
7,0.00676817,0.0205122,0.4285714285714286,3.7142857142857144,0.8571428571428571
8,0.00670059,0.0161976,0.5714285714285714,3.875,0.75
9,0.00622213,0.0148661,0.6666666666666666,5.666666666666667,0.6666666666666666
10,0.00621296,0.0145873,0.6888888888888888,6.4,0.6
11,0.00615348,0.0130376,0.7454545454545454,7.545454545454546,0.5454545454545454
12,0.00600937,0.0129211,0.5757575757575757,7.75,0.6666666666666666
13,0.0054696,0.0126794,0.564102564102564,7.230769230769231,0.6153846153846154
14,0.00527524,0.0119038,0.4945054945054945,7.357142857142857,0.6428571428571429
15,0.00523558,0.0115334,0.4666666666666667,7.2,0.6666666666666666
16,0.00496658,0.0103973,0.41666666666666663,7.3125,0.75
17,0.00488412,0.0102911,0.4411764705882352,7.117647058823529,0.7647058823529411
18,0.00466055,0.00986084,0.5032679738562092,39.166666666666664,0.7222222222222222
19,0.00456843,0.00892445,0.543859649122807,38.473684210526315,0.6842105263157895
20,0.00454685,0.00891463,0.5263157894736842,36.65,0.65
21,0.00436353,0.00890062,0.5047619047619049,35.19047619047619,0.7142857142857143
22,0.0043589,0.0082867,0.5324675324675324,34.5,0.6818181818181818
23,0.00434135,0.0077795,0.549407114624506,33.52173913043478,0.6521739130434783
24,0.00432759,0.00704321,0.5,32.666666666666664,0.7083333333333334
25,0.00413664,0.00666693,0.5333333333333332,34.36,0.68
26,0.00406731,0.0064927,0.5076923076923078,33.42307692307692,0.7307692307692307
27,0.00401162,0.0063368,0.49287749287749294,32.48148148148148,0.7407407407407407
28,0.00387225,0.00614256,0.4285714285714285,32.107142857142854,0.75
29,0.00384192,0.00566438,0.4482758620689654,31.275862068965516,0.7241379310344828
30,0.00374628,0.00555846,0.4666666666666667,30.566666666666666,0.7
31,0.00371083,0.00552673,0.4709677419354839,29.580645161290324,0.6774193548387096
32,0.00358594,0.00549353,0.5000000000000001,34.28125,0.6875
33,0.00345763,0.00498974,0.4848484848484849,33.57575757575758,0.7272727272727273
34,0.00342922,0.00498678,0.4581105169340464,33.088235294117645,0.7647058823529411
35,0.00340631,0.00492344,0.4789915966386554,32.97142857142857,0.7428571428571429
36,0.00339288,0.00488005,0.47936507936507944,32.138888888888886,0.75
37,0.0033726,0.00458988,0.4294294294294294,32.054054054054056,0.7567567567567568
38,0.00332147,0.00448319,0.44807965860597443,31.81578947368421,0.7631578947368421
39,0.00309363,0.00440954,0.46828609986504727,32.35897435897436,0.7435897435897436
40,0.00308609,0.00423256,0.4897435897435898,33.25,0.75
41,0.00308175,0.00402103,0.4902439024390244,32.51219512195122,0.7560975609756098
42,0.00300105,0.00360881,0.4518002322880372,32.45238095238095,0.7619047619047619
43,0.00297695,0.00350724,0.47065337763012177,33.13953488372093,0.7674418604651163
44,0.0029752,0.00320155,0.4566596194503171,32.81818181818182,0.7727272727272727
45,0.00288886,0.00311787,0.46868686868686865,32.77777777777778,0.7777777777777778
46,0.00287918,0.00297947,0.48212560386473435,33.08695652173913,0.7608695652173914
47,0.00285927,0.00288351,0.45975948196114713,32.95744680851064,0.7659574468085106
48,0.00274122,0.00278014,0.45921985815602845,32.458333333333336,0.7916666666666666
49,0.00273933,0.00272472,0.48129251700680264,51.69387755102041,0.7755102040816326
50,0.00267516,0.00267833,0.4873469387755102,51.0,0.76
51,0.00257086,0.00266879,0.4933333333333334,50.372549019607845,0.7450980392156863
52,0.00250887,0.00266161,0.493212669683258,49.42307692307692,0.7307692307692307
53,0.00246639,0.00264518,0.48040638606676345,48.886792452830186,0.7358490566037735
54,0.00245788,0.00262285,0.4926624737945492,48.907407407407405,0.7222222222222222
55,0.00245559,0.00257799,0.4814814814814815,48.4,0.7272727272727273
56,0.002449,0.00253354,0.4961038961038961,49.07142857142857,0.7321428571428571
57,0.00240868,0.0024806,0.4912280701754386,48.49122807017544,0.7368421052631579
58,0.00239229,0.00246745,0.49062310949788257,47.706896551724135,0.7413793103448276
59,0.00239205,0.00242838,0.5032144944476913,47.96610169491525,0.7288135593220338
60,0.0023546,0.00227893,0.5163841807909605,49.25,0.7166666666666667
61,0.00232599,0.00219205,0.5300546448087432,52.18032786885246,0.7049180327868853
62,0.00231675,0.00217597,0.5081967213114754,51.95161290322581,0.7096774193548387
63,0.00231032,0.0021027,0.5104966717869943,51.53968253968254,0.6984126984126984
64,0.00220988,0.00208636,0.49107142857142855,51.3125,0.71875
65,0.00218124,0.0020726,0.48653846153846164,50.723076923076924,0.7230769230769231
66,0.00216174,0.00198803,0.48904428904428904,50.24242424242424,0.7121212121212122
67,0.00213324,0.00198796,0.4871099050203529,49.56716417910448,0.7313432835820896
68,0.00212806,0.00197444,0.47497805092186124,49.30882352941177,0.7352941176470589
69,0.00212217,0.00185937,0.46888320545609546,48.95652173913044,0.7391304347826086
70,0.00203589,0.00180078,0.45010351966873713,48.885714285714286,0.7571428571428571
71,0.00201783,0.00177099,0.4462776659959759,48.521126760563384,0.7605633802816901
72,0.00195836,0.00175384,0.45383411580594674,48.263888888888886,0.75
73,0.00192256,0.00172275,0.4497716894977169,47.9041095890411,0.7671232876712328
74,0.00190602,0.00172141,0.4601999259533507,48.08108108108108,0.7567567567567568
75,0.00188633,0.00170451,0.47099099099099107,48.346666666666664,0.7466666666666667
76,0.00186188,0.00168323,0.48140350877192994,48.723684210526315,0.7368421052631579
77,0.00184975,0.00168179,0.4832535885167464,48.25974025974026,0.7272727272727273
78,0.00183452,0.00168016,0.4931734931734932,48.67948717948718,0.717948717948718
79,0.00181967,0.00164,0.49042518662771833,48.22784810126582,0.7341772151898734
