rank_emul	user	Psi_emul	out_deg	in_deg	R_tweet	R_rtweet
1	20905367	0.012023565460698039	6676	3	5.312501787861179e-06	6.129809755224437e-07
2	82299300	0.01128905052289634	7833	35	1.3076927477812132e-05	8.786060649155027e-06
3	494076761	0.007349635721781854	6963	0	4.393030324577513e-05	0.0
4	615422017	0.005325250297998471	5474	3	7.069713917692184e-05	7.764425689950953e-06
5	174953869	0.005132064847432731	1742	3	1.4507216420697834e-05	2.860577885771404e-06
6	711363811	0.004785595805744729	1309	1	8.173079673632582e-07	2.0432699184081456e-07
7	36309919	0.004439939057198738	4516	3	1.2668273494130503e-05	6.129809755224437e-07
8	1867848452	0.004152056155700206	1235	0	6.129809755224437e-07	0.0
9	34200559	0.003680482010501654	3571	0	9.82812830754318e-05	0.0
10	50597428	0.003362334940619661	1156	0	8.173079673632582e-07	0.0
11	158650448	0.003232555893312366	1967	0	1.205529251860806e-05	0.0
12	2457390594	0.0029058046184053366	2137	0	1.1442311543085615e-05	0.0
13	2758834280	0.0028278067985990684	3794	0	4.086539836816291e-05	0.0
14	834329076596883456	0.0023897152585071013	3813	1	5.721155771542808e-06	2.0432699184081456e-07
15	2296219634	0.002360632286531605	3429	9	1.389423544517539e-05	2.2475969102489602e-06
16	338960856	0.0022750965009481483	2869	1	9.358176226309307e-05	6.129809755224437e-07
17	263529544	0.0022464228943508864	542	0	2.6562508939305893e-06	0.0
18	2803786405	0.0022330900909641816	2335	0	1.9615391216718198e-05	0.0
19	269770723	0.0021754088682754097	2027	0	4.842549706627305e-05	0.0
20	4258505075	0.002136944047960366	729	2	1.838942926567331e-06	4.086539836816291e-07
21	784157667258429440	0.0020902097558844236	2564	163	6.007213560119948e-05	8.41827206384156e-05
22	2151657985	0.0020867734906733163	3761	3	1.2259619510448873e-05	6.129809755224437e-07
23	746562621449601024	0.0020569988958104666	3605	64	7.457935202189731e-05	1.6959140322787608e-05
24	952549572240465920	0.0020477002103195256	481	1	6.742790730746881e-06	2.0432699184081456e-07
25	871745356295491584	0.001837700441287068	822	0	4.4951938204979205e-06	0.0
26	191315334	0.0018204906401362469	1751	2	1.6346159347265166e-05	4.086539836816291e-07
27	1678997701	0.0017976838270015298	615	6	1.2872600485971317e-05	4.699520812338735e-06
28	2559600505	0.0017432851940494159	3423	3	9.39904162467747e-06	8.173079673632582e-07
29	1189718923	0.0016357108806385003	450	0	2.0432699184081456e-07	0.0
30	16827148	0.0016304664842853212	357	0	1.2259619510448874e-06	0.0
31	489461115	0.001627654157850959	3357	23	5.8028865682791335e-05	7.355771706269324e-06
32	1628181121	0.0016082428393690898	2308	0	3.0649048776122184e-06	0.0
33	3172047629	0.0015981818261721625	3351	35	1.0420676583881543e-05	1.1237984551244801e-05
34	35233615	0.0015523308093769903	2802	8	2.329327706985286e-05	2.0432699184081457e-06
35	3084141562	0.001508506336665441	1387	0	2.860577885771404e-06	0.0
36	853612426377523200	0.0014905297764993193	2899	5	2.370193105353449e-05	1.430288942885702e-06
37	20510157	0.0014813142187935183	1449	0	4.536059218866083e-05	0.0
38	771352973742075904	0.0014807868391711317	3221	20	2.9014432841395667e-05	5.312501787861179e-06
39	285532415	0.0014459468417818006	2105	0	9.521637819781958e-05	0.0
40	4744883249	0.0014149586853400386	1277	4	1.1237984551244801e-05	8.173079673632582e-07
