rank_emul	rank_star	rank_outdeg	rank_tweet
1	3	3	4428
2	5	1	2108
3	2	2	380
4	1	4	177
5	7	51	1895
6	15	77	9678
7	9	5	2183
8	12	83	10679
9	4	10	100
10	20	91	9596
11	13	39	2297
12	16	31	2393
13	6	7	434
14	31	6	4239
15	24	11	1987
16	8	18	111
17	32	231	6453
18	17	26	1315
19	18	37	314
20	51	159	7613
21	121	22	230
22	26	8	2258
23	19	9	158
24	28	252	3704
25	22	138	4839
26	21	50	1634
27	68	197	2143
28	37	12	2922
29	44	269	12333
30	47	327	8882
31	23	13	239
32	58	27	6068
33	145	14	2627
34	27	19	1016
35	52	67	6198
36	10	17	992
37	33	64	363
38	25	15	733
39	14	33	108
40	38	78	2425
41	11	28	60
42	88	23	957
43	54	16	1507
44	97	46	6166
45	78	30	5793
46	56	370	8863
47	39	21	2397
48	64	431	12067
49	46	171	4042
50	59	68	2669
51	50	44	1950
52	29	75	291
53	62	266	13117
54	101	260	6090
55	75	295	12560
56	73	451	12817
57	151	388	8095
58	36	32	1213
59	83	316	7646
60	65	207	5181
61	55	45	1113
62	89	25	3180
63	110	373	1663
64	72	58	3332
65	48	49	604
66	124	20	1242
67	35	40	1041
68	98	24	3408
69	74	286	5873
70	86	61	2265
71	34	73	443
72	122	29	4405
73	115	107	7584
74	106	121	5913
75	92	563	5849
76	30	55	686
77	147	84	5812
78	111	368	8252
79	80	56	1877
80	70	181	1778
81	41	35	1243
82	117	434	13399
83	184	62	2062
84	79	53	1384
85	105	41	3566
86	156	311	8690
87	67	43	863
88	91	492	1195
89	94	484	9583
90	90	210	2508
91	143	93	5014
92	118	323	3501
93	76	36	1142
94	281	99	3119
95	209	531	12084
96	155	63	7195
97	60	47	1191
98	188	175	5664
99	216	651	12581
100	61	48	1919
101	131	289	2581
102	262	162	7024
103	197	34	2349
104	177	473	11227
105	138	422	11639
106	108	42	1963
107	57	54	750
108	82	166	396
109	126	592	11346
110	42	38	856
111	128	69	3851
112	210	493	10233
113	85	155	748
114	159	57	4131
115	273	132	7502
116	164	545	6381
117	227	488	3734
118	199	52	1606
119	272	128	11258
120	244	338	11289
121	109	317	461
122	104	228	1988
123	93	101	1921
124	87	82	1945
125	112	154	1465
126	150	601	13176
127	355	125	1224
128	123	70	207
129	71	85	374
130	137	184	4011
131	265	300	3916
132	45	90	110
133	225	664	8422
134	129	112	3935
135	100	72	1344
136	173	717	12152
137	49	59	261
138	63	96	1185
139	170	775	13030
140	205	100	3822
141	153	575	11493
142	246	205	5546
143	176	499	9859
144	230	557	13420
145	240	432	5434
146	166	88	2496
147	114	229	332
148	127	248	755
149	307	164	5834
150	193	438	2437
151	103	71	1499
152	337	468	914
153	181	66	3862
154	157	86	4212
155	282	143	9764
156	99	119	2359
157	327	688	12711
158	192	332	11760
159	812	250	2282
160	146	124	1346
161	191	117	3199
162	185	716	10283
163	142	322	2223
164	116	60	1744
165	53	186	439
166	43	87	532
167	180	374	1277
168	222	95	4855
169	849	249	1471
170	257	149	4751
171	254	151	8734
172	443	519	7711
173	190	98	2576
174	149	482	6831
175	271	222	6668
176	194	106	4342
177	235	182	2269
178	189	565	6036
179	139	65	1910
180	174	562	3076
181	182	190	645
182	667	677	563
183	203	697	10030
184	352	102	3854
185	212	951	9220
186	102	123	824
187	251	577	12282
188	172	214	4332
189	95	111	505
190	135	81	792
191	707	211	7114
192	406	306	7085
193	236	76	2404
194	253	218	1630
195	228	897	13145
196	119	80	617
197	269	180	4917
198	431	242	4410
199	107	173	233
200	229	871	13017
201	310	110	7577
202	249	635	5918
203	285	79	1660
204	284	105	5496
205	451	450	7216
206	154	113	868
207	276	74	3053
208	218	129	3999
209	40	120	67
210	258	371	8065
211	393	114	5823
212	120	109	1777
213	81	247	172
214	141	185	1072
215	198	165	2470
216	201	115	59
217	356	206	6886
218	452	321	4321
219	296	137	2466
220	224	924	12678
221	681	936	8073
222	130	116	1184
223	245	418	8038
224	84	134	169
225	220	142	1020
226	140	127	517
227	295	97	3367
228	340	167	6231
229	363	174	12999
230	186	153	1662
231	255	118	2010
232	204	580	5359
233	279	878	6493
234	200	92	2275
235	658	299	11326
236	540	209	5495
237	162	201	2252
238	264	1021	10161
239	377	150	10648
240	687	939	9032
241	132	89	277
242	302	145	5553
243	329	421	12474
244	280	749	11153
245	270	898	13166
246	96	152	508
247	187	108	1752
248	866	255	11171
249	277	996	11224
250	324	133	5520
251	288	226	4918
252	247	192	3075
253	66	135	124
254	384	104	5965
255	266	870	8174
256	252	407	2400
257	211	94	3320
258	323	130	7109
259	862	259	7522
260	343	178	6666
261	321	193	5131
262	297	103	2491
263	165	236	1353
264	290	1215	9036
265	125	265	735
266	303	730	12623
267	313	786	11192
268	424	158	1686
269	300	126	114
270	148	253	317
271	523	244	7599
272	160	283	588
273	607	949	7215
274	459	572	4419
275	195	136	1031
276	311	1123	10055
277	882	362	5043
278	624	156	5073
279	359	990	9284
280	231	200	1055
281	287	365	2234
282	333	474	12940
283	372	376	5883
284	263	157	2316
285	196	195	3382
286	497	234	2354
287	604	503	11575
288	344	1245	13430
289	495	1202	9711
290	314	770	7937
291	238	147	1024
292	334	1281	12422
293	312	943	5085
294	885	344	7731
295	346	1155	12845
296	69	148	293
297	511	204	2850
298	391	263	9522
299	556	176	6691
300	309	280	5540
301	413	144	3432
302	383	710	8345
303	521	469	6527
304	381	931	10894
305	477	350	1898
306	161	198	3492
307	491	169	421
308	402	273	1644
309	306	885	9196
310	349	1396	12230
311	167	408	398
312	317	589	5077
313	370	842	8947
314	392	179	2178
315	544	1110	6769
316	283	583	3511
317	404	547	10232
318	617	131	4276
319	351	141	2634
320	586	772	3979
321	152	460	504
322	347	1085	12820
323	373	831	9787
324	484	215	3296
325	400	799	9633
326	362	1462	13034
327	358	787	13256
328	364	1492	9436
329	382	330	3614
330	389	339	5566
331	385	1080	5752
332	403	1063	12518
333	380	857	8264
334	260	140	1019
335	213	188	1540
336	454	439	8199
337	779	596	12700
338	289	291	2387
339	336	194	4909
340	339	241	1146
341	549	305	11730
342	441	591	9371
343	342	536	4900
344	366	1493	13261
345	316	1135	5488
346	401	423	2772
347	591	279	1682
348	368	877	4674
349	175	170	437
