rank_emul	rank_star	rank_outdeg	rank_tweet	pagerank	sumMnei
1	3	3	4428	2	12
2	5	1	2108	1	2
3	2	2	380	6	1
4	1	4	177	4	3
5	7	51	1895	14	450
6	15	77	9678	26	1740
7	9	5	2183	13	11
8	12	83	10679	29	1780
9	4	10	100	21	14
10	20	91	9596	41	1273
11	13	39	2297	16	94
12	16	31	2393	19	84
13	6	7	434	9	7
14	31	6	4239	18	5
15	24	11	1987	7	16
16	8	18	111	28	27
17	32	231	6453	103	2095
18	17	26	1315	22	46
19	18	37	314	35	52
20	51	159	7613	76	2125
21	121	22	230	30	30
22	26	8	2258	23	8
23	19	9	158	42	4
24	28	252	3704	93	2999
25	22	138	4839	58	1170
26	21	50	1634	32	120
27	68	197	2143	113	428
28	37	12	2922	33	13
29	44	269	12333	131	3046
30	47	327	8882	136	3236
31	23	13	239	49	15
32	58	27	6068	65	34
33	145	14	2627	36	9
34	27	19	1016	27	23
35	52	67	6198	85	135
36	10	17	992	15	10
37	33	64	363	99	112
38	25	15	733	25	6
39	14	33	108	40	39
40	38	78	2425	91	242
41	11	28	60	57	36
42	88	23	957	12	40
43	54	16	1507	55	18
44	97	46	6166	90	75
45	78	30	5793	71	31
46	56	370	8863	172	2223
47	39	21	2397	45	19
48	64	431	12067	198	6153
49	46	171	4042	95	728
50	59	68	2669	89	117
51	50	44	1950	46	49
52	29	75	291	10	101
53	62	266	13117	146	2900
54	101	260	6090	155	1817
55	75	295	12560	168	3057
56	73	451	12817	213	5350
57	151	388	8095	219	4062
58	36	32	1213	54	22
59	83	316	7646	196	775
60	65	207	5181	162	371
61	55	45	1113	64	42
62	89	25	3180	115	28
63	110	373	1663	170	688
64	72	58	3332	59	70
65	48	49	604	142	78
66	124	20	1242	66	26
67	35	40	1041	20	43
68	98	24	3408	96	21
69	74	286	5873	154	2531
70	86	61	2265	79	98
71	34	73	443	74	81
72	122	29	4405	84	33
73	115	107	7584	47	241
74	106	121	5913	165	408
75	92	563	5849	268	6980
76	30	55	686	34	45
77	147	84	5812	145	160
78	111	368	8252	257	821
79	80	56	1877	92	58
80	70	181	1778	161	301
81	41	35	1243	75	24
82	117	434	13399	153	2310
83	184	62	2062	97	63
84	79	53	1384	86	48
85	105	41	3566	52	35
86	156	311	8690	185	1166
87	67	43	863	109	25
88	91	492	1195	267	4293
89	94	484	9583	261	5620
90	90	210	2508	174	214
91	143	93	5014	164	115
92	118	323	3501	260	730
93	76	36	1142	127	32
94	281	99	3119	61	139
95	209	531	12084	272	6089
96	155	63	7195	138	66
97	60	47	1191	112	44
98	188	175	5664	242	416
99	216	651	12581	209	6556
100	61	48	1919	39	37
101	131	289	2581	233	624
