rank_emul	user	Psi_emul	out_deg	in_deg	R_tweet	R_rtweet
1	519514	0.037080667511495226	455504	2	3.166949588445049e-05	1.90378694826874e-08
2	490872	0.024679491031858618	404425	0	3.539139936831588e-05	0.0
3	1004172	0.01329619335906585	121912	4	2.0084952304235205e-06	8.56704126720933e-08
4	482551	0.01152809837261325	217396	0	1.0956293887286599e-05	0.0
5	110361	0.007072638528475119	174489	17	1.0328044194357914e-05	2.474923032749362e-07
6	244531	0.007054487628829077	183188	11	1.0404195672288664e-05	1.8085976008553029e-07
7	296675	0.006768166709514445	183460	11	8.728863157812173e-06	1.618218906028429e-07
8	980392	0.006700590952225323	136095	20	6.215864386097436e-06	8.376662572382455e-07
9	153610	0.006222126660961782	99509	13	3.636233071193293e-06	3.141248464643421e-07
10	821785	0.006212957189741727	118203	94	2.7414532055069855e-06	1.2660183205987121e-06
11	450459	0.006153482831146339	100188	3	2.2559875336984567e-06	4.75946737067185e-08
12	836276	0.006009369291561905	167414	0	1.1908187361420968e-05	0.0
13	1597497	0.00546960180742335	143812	32	5.6352093668754705e-06	8.662230614622767e-07
14	1484113	0.00527523595943819	124375	0	7.510439510920179e-06	0.0
15	236648	0.005235582097721	120757	7	5.444830672048596e-06	7.61514779307496e-08
16	908988	0.004966575266132426	108157	18	1.134657021168169e-05	2.2845443379224879e-07
17	1645455	0.004884124497874207	115924	1	4.159774481967197e-06	1.90378694826874e-08
18	1285196	0.004660551490757991	12391	7	7.61514779307496e-08	9.5189347413437e-08
19	1476032	0.0045684279486810225	65149	18	2.1322413820609886e-06	4.854656718085287e-07
20	495028	0.004546850146409382	101161	63	5.292527716187097e-06	7.424769098248086e-07
21	1491540	0.004363527181889533	114685	0	6.806038340060745e-06	0.0
22	148795	0.004358903534932801	95869	13	2.113203512578301e-06	3.046059117229984e-07
23	828102	0.004341349902116781	110813	2	2.0084952304235205e-06	5.7113608448062197e-08
24	66863	0.004327588436361825	122637	21	8.67174954936411e-06	3.141248464643421e-07
25	820273	0.004136641433741515	105762	4	3.236437812056858e-07	3.80757389653748e-08
26	491222	0.00406730510082196	111291	5	4.178812351449884e-06	5.7113608448062197e-08
27	940496	0.004011618282219858	118798	30	5.806550192219657e-06	6.092118234459968e-07
28	874115	0.0038722500163987897	115069	0	1.1746365470818125e-05	0.0
29	295508	0.0038419237093875957	78729	7	3.4363354416250757e-06	9.5189347413437e-08
30	1529457	0.003746278407371234	70145	14	2.3606958158532373e-06	4.378709981018102e-07
31	1591363	0.003710828225717242	102687	28	3.769498157572105e-06	4.473899328431539e-07
32	1373835	0.0035859401402735707	34213	15	2.6653017275762357e-07	2.0560899041302393e-06
33	491488	0.003457626433131986	89349	0	5.216376238256347e-06	0.0
34	236744	0.0034292187323966077	87843	13	9.709313436170574e-06	1.523029558614992e-07
35	332261	0.0034063138647148104	60615	12	1.3516887332708053e-06	3.331627159470295e-07
36	1023375	0.003392884629905468	83029	6	4.264482764121977e-06	5.7113608448062197e-08
37	235238	0.0033726041335080223	120292	1	5.6542472363581575e-06	9.5189347413437e-09
38	431395	0.003321468985173276	74059	59	1.1613100384439314e-06	9.899692130997448e-07
39	93726	0.003093633989960049	46749	7	8.091094530142145e-07	3.046059117229984e-07
40	554550	0.0030860899097046404	34114	6	6.377686276700279e-07	4.1883312861912276e-07
41	610570	0.003081747349422656	89994	15	3.4077786374010444e-06	2.760491074989673e-07
42	535188	0.0030010454210978306	100593	0	1.0432752476512694e-05	0.0
43	1610305	0.0029769501522467325	37225	27	4.1883312861912276e-07	9.042988004276514e-07
44	33743	0.002975200434185828	90214	1	3.893244309209573e-06	3.80757389653748e-08
45	1521599	0.0028888628287879474	52898	33	2.037052034647552e-06	8.852609309449641e-07
46	974149	0.0028791761180323927	52172	11	6.092118234459968e-07	1.4944727543909609e-06
47	1491551	0.002859274671059378	76731	1	8.64319274514008e-06	1.90378694826874e-08
48	430030	0.0027412183427002875	64782	48	2.5320366411974242e-06	7.234390403421211e-07
49	1384408	0.002739329067726759	9169	18	4.75946737067185e-08	2.0941656430956138e-07
50	840247	0.002675162195937101	57675	100	1.4468780806842423e-06	1.3802455374948365e-06
51	12503	0.0025708567800491354	89304	93	9.614124088757136e-07	2.912794030851172e-06
52	382112	0.002508865449320267	54888	28	2.912794030851172e-06	5.806550192219657e-07
53	889270	0.0024663850111649515	75963	0	3.0650969867126715e-06	0.0
54	158835	0.0024578755851863625	65451	0	7.90071583531527e-07	0.0
55	491496	0.0024555926918944423	83007	1	4.32159637257004e-06	9.5189347413437e-09
56	1500650	0.002449000508797727	37058	8	7.044011708594338e-07	2.6653017275762357e-07
57	529122	0.0024086848316692377	63371	0	3.4172975721423883e-06	0.0
58	295630	0.0023922923233462203	39330	23	3.7504602880894177e-06	3.6171952017106057e-07
59	839263	0.002392045088810216	35741	14	9.233366699103389e-07	3.80757389653748e-07
60	820075	0.0023546018629831823	40733	19	3.712384549124043e-07	2.6653017275762357e-07
61	1513088	0.002325987005915389	19921	18	3.236437812056858e-07	2.474923032749362e-07
62	811424	0.002316752296627067	69454	1	7.567553119368241e-06	9.5189347413437e-09
63	153602	0.0023103164430754728	51119	9	1.580143167063054e-06	1.998976295682177e-07
64	236257	0.002209881373695532	68345	14	3.940838982916292e-06	9.80450278358401e-07
65	679388	0.002181237977092756	58082	11	2.846161487661766e-06	1.713408253441866e-07
66	144948	0.002161743786552145	49576	10	1.7895597313726156e-06	2.474923032749362e-07
67	431304	0.002133243169231643	59684	6	1.4468780806842423e-06	4.093141938777791e-07
68	19281	0.002128058312539973	64232	6	5.054554347653505e-06	1.1422721689612439e-07
69	608634	0.002122166537232067	60503	26	3.6552709406759806e-06	3.6171952017106057e-07
70	814042	0.002035893053676398	60608	0	7.3581365550586795e-06	0.0
71	939582	0.002017828625205366	53053	20	3.236437812056858e-06	3.141248464643421e-07
72	497197	0.0019583588377986814	24573	4	2.693858531800267e-06	1.998976295682177e-07
73	529203	0.0019225596372424575	54296	0	3.1888431383501396e-06	0.0
74	102261	0.0019060236606154083	44857	5	6.092118234459968e-07	5.045035412912161e-07
75	1561612	0.0018863263733081784	23451	20	1.0280449520651196e-06	1.989457360940833e-06
76	507035	0.0018618771898045868	30995	8	1.427840211201555e-07	7.61514779307496e-08
77	1353675	0.001849753579230584	43578	2	1.960900556716802e-06	1.90378694826874e-08
78	1436432	0.0018345154548518943	29065	0	9.899692130997448e-07	0.0
79	595921	0.0018196711736604653	22109	2	2.8651993571444536e-06	2.8556804224031098e-08
80	820645	0.0017939638910321448	46599	82	1.0280449520651196e-06	1.580143167063054e-06
81	530006	0.001791238196105516	25689	6	5.045035412912161e-07	1.3326508637881179e-07
82	69072	0.0017894373495981658	67828	30	3.3697028984356695e-06	5.045035412912161e-07
83	125533	0.001752513144235463	40193	3	1.3040940595640868e-06	1.523029558614992e-07
84	463143	0.0017298396203082025	8438	52	2.8556804224031098e-08	1.4468780806842423e-06
85	295535	0.0017214092205178073	37090	15	1.8561922745620214e-06	2.0941656430956138e-07
86	268081	0.0017023409445020624	18493	73	1.90378694826874e-07	9.614124088757136e-07
87	598128	0.0016773636039108793	38760	3	1.932343752492771e-06	3.80757389653748e-08
88	1554943	0.0016748852578235619	61009	13	2.950869769816547e-06	2.0941656430956138e-07
89	1495173	0.0016254841122255418	39731	29	6.092118234459968e-07	5.045035412912161e-07
90	235240	0.0015888586298291472	38548	1	3.47441118059045e-06	9.5189347413437e-09
91	490869	0.001568354926599837	45558	13	2.3702147505945813e-06	3.141248464643421e-07
92	1376265	0.0015610817904051968	11397	10	4.5690886758449757e-07	1.427840211201555e-07
93	1311190	0.0015585084917875418	36525	23	1.361207668012149e-06	5.330603455152471e-07
94	820252	0.0015558224704432658	34056	30	3.712384549124043e-07	9.614124088757136e-07
95	236740	0.00153906950319522	53368	6	4.102660873519134e-06	5.7113608448062197e-08
96	999497	0.0015259398396694937	24699	4	5.71136084480622e-07	4.75946737067185e-08
97	515208	0.0015184679726613906	48646	48	3.712384549124043e-07	6.282496929286842e-07
98	1724455	0.0015035328914645312	29475	17	1.2755372553400558e-06	3.141248464643421e-07
99	288807	0.0014854365679721213	46270	11	2.912794030851172e-06	1.998976295682177e-07
100	26416	0.001477642853293708	37909	46	5.520982149979346e-07	6.187307581873405e-07
101	1498417	0.0014636798685810923	60328	10	3.1793242036087956e-06	1.427840211201555e-07
102	266360	0.001461534076606046	26729	8	5.616171497392783e-07	1.8085976008553029e-07
103	1508875	0.0014475905208420818	33613	6	3.6171952017106057e-06	2.2845443379224879e-07
104	699918	0.0014468042633709504	14399	2	5.520982149979346e-07	2.760491074989673e-07
105	223728	0.0014238898193844295	43549	4	1.6372567755111164e-06	3.80757389653748e-08
106	1634795	0.001387288330065013	48995	1	2.4558851632666745e-06	9.5189347413437e-09
107	346619	0.001368361712057892	45126	13	3.4077786374010444e-06	2.760491074989673e-07
108	1625977	0.001329856694647264	24919	3	2.446366228525331e-06	7.61514779307496e-08
109	1591371	0.0013278837666662496	52894	28	2.2369496642157692e-06	4.378709981018102e-07
110	910747	0.0013223467461709968	32353	7	5.549538954203377e-06	1.523029558614992e-07
111	266955	0.0013137857080485304	40454	2	1.5039916891323046e-06	3.80757389653748e-08
112	1020112	0.0013076112469730399	27717	32	3.046059117229984e-07	3.6171952017106057e-07
113	1288747	0.0012928147469946612	27446	27	1.6277378407697727e-06	7.805526487901833e-07
114	986090	0.0012848264238483008	34292	10	3.7599792228307612e-06	1.8085976008553029e-07
115	503864	0.0012838606736068642	13002	16	4.949846065498724e-07	2.2845443379224879e-07
116	604194	0.0012675105870196199	43799	25	2.3321390116292064e-06	4.75946737067185e-07
117	691753	0.0012636493563444196	36087	23	1.7610029271485845e-06	5.99692888704653e-07
118	962808	0.0012630301097747692	54466	4	2.560593445421455e-06	1.237461516374681e-07
119	1780367	0.0012310555141397022	21098	9	2.189354990509051e-07	6.092118234459968e-07
120	1292455	0.0012285152305498413	21597	28	9.5189347413437e-07	6.758443666354027e-07
121	185064	0.0012236447362352113	37463	9	1.5135106238736483e-06	2.379733685335925e-07
122	714148	0.001218743867458909	11511	4	1.1422721689612439e-07	3.80757389653748e-08
123	488890	0.0012111451787762697	40491	8	1.6658135797351475e-06	9.5189347413437e-08
124	958108	0.0012099267081883767	38489	19	2.627225988610861e-06	2.6653017275762357e-07
125	677386	0.0012089865640812485	32702	20	2.0084952304235205e-06	4.1883312861912276e-07
126	908462	0.0012082272331268803	49490	85	7.61514779307496e-07	9.80450278358401e-07
127	1205647	0.0012053964589940572	19633	6	9.328556046516826e-07	5.7113608448062197e-08
128	499989	0.0011913364063782326	36058	0	5.178300499290973e-06	0.0
129	1358074	0.001189258280312149	46111	1	1.932343752492771e-06	9.5189347413437e-09
130	903391	0.0011884537113182065	33784	4	6.758443666354027e-07	8.56704126720933e-08
131	860496	0.0011785729835569693	5151	26	1.237461516374681e-07	2.760491074989673e-07
132	606701	0.001178349437762399	34630	29	2.122722447319645e-06	1.047082821547807e-06
133	820518	0.0011743399969612474	23377	9	1.456397015425586e-06	1.3326508637881179e-07
134	163044	0.0011656588386947792	28505	9	1.456397015425586e-06	2.379733685335925e-07
135	725757	0.001163300861396077	29739	2	1.6562946449938038e-06	3.236437812056858e-07
136	602975	0.001157449754745884	39164	5	2.979426574040578e-06	4.75946737067185e-08
137	304834	0.001157242729520947	17417	1	6.187307581873405e-07	1.8085976008553029e-07
138	430031	0.0011434065475524266	44504	70	1.4944727543909609e-06	1.237461516374681e-06
139	151170	0.0011351028089163749	20275	10	7.61514779307496e-07	2.6653017275762357e-07
