rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
1	1	2	1	2	20	18	1	11	4405
2	2	1	2	1	12	10	2	5	7141
3	12	23	12	102	29	27	29	16	39119
4	3	3	3	6	4	5	3	3	35464
5	7	5	6	9	92	80	5	59	13147
6	4	7	5	8	39	33	7	56	4470
7	6	17	4	11	138	132	4	105	2834
8	16	27	9	18	116	101	16	81	13869
9	32	54	28	44	250	238	34	167	42995
10	26	11	16	67	8	8	13	6	16978
11	33	45	27	89	103	96	24	151	1571
12	5	14	7	3	146	141	8	83	38620
13	17	28	8	21	162	157	11	90	42806
14	8	9	10	15	68	72	6	97	1923
15	13	10	13	23	14	15	14	41	2750
16	10	8	22	5	62	55	35	71	5044
17	24	49	17	32	269	266	21	135	39599
18	611	5756	366	4187	10245	10636	324	14016	3211
19	48	59	46	94	164	171	48	122	5952
20	21	4	25	24	15	14	20	14	14712
21	18	19	19	17	91	77	22	51	23923
22	45	78	29	96	205	187	28	123	42502
23	38	16	21	100	9	7	10	10	3815
24	14	18	11	12	128	126	18	77	461
25	103	125	23	928	24	20	15	29	9780
26	19	22	20	31	70	71	9	82	17734
27	22	25	15	19	109	95	23	66	30749
28	9	15	18	4	134	127	26	109	7002
29	40	69	37	48	454	442	41	217	42510
30	43	135	41	84	770	737	31	620	2285
31	34	71	24	40	344	318	25	171	39692
32	215	519	115	1174	1180	1071	115	583	19621
33	25	21	32	25	60	54	45	38	14822
34	20	6	34	10	67	59	33	48	44287
35	67	37	51	169	17	16	69	8	33653
36	36	91	35	30	718	677	37	313	22706
37	11	29	14	20	79	108	12	168	3110
38	64	31	40	198	10	9	42	4	11001
39	95	583	71	291	2208	2307	51	4524	9626
40	111	214	116	398	384	364	110	204	20384
41	41	79	31	51	437	409	30	251	38086
42	15	24	26	7	202	193	27	176	170
43	108	271	99	675	234	224	202	210	13837
44	28	64	30	36	331	346	19	312	16343
45	79	255	63	99	1549	1479	60	534	37488
46	96	203	65	422	500	446	73	255	10842
47	23	12	38	13	81	68	44	46	7881
48	42	26	47	76	35	38	38	36	35774
49	1207	4286	509	6705	3160	4268	442	4880	15684
50	70	20	57	154	3	3	47	1	7295
51	73	68	33	239	46	43	17	54	14492
52	56	175	58	63	1371	1281	62	576	41116
53	35	47	39	58	95	92	32	138	685
54	107	587	45	305	3442	3222	36	2441	41568
55	37	63	36	29	275	267	43	185	35248
56	145	532	103	351	2136	1986	82	2915	31719
57	44	86	49	49	441	420	50	227	2479
58	58	52	89	42	255	254	131	133	34432
59	125	77	109	254	72	67	112	89	38232
60	188	184	83	758	75	81	74	60	25937
61	292	1369	228	916	3201	3229	150	2339	699
62	27	13	42	14	69	63	55	57	3835
63	92	218	66	138	488	438	71	469	41916
64	30	38	43	35	140	136	40	158	577
65	55	122	56	65	761	721	57	421	32308
66	88	224	67	116	599	548	81	588	41915
67	65	67	55	155	100	97	39	98	3574
68	39	34	48	27	120	118	61	95	10150
69	47	65	53	43	295	280	53	174	37551
70	29	36	52	16	367	358	65	225	5260
71	51	94	62	55	204	185	85	248	24621
72	105	74	175	69	314	302	219	231	42952
73	54	161	60	56	1242	1161	66	530	40456
74	138	99	77	420	53	53	75	32	41089
75	146	61	183	214	40	41	227	37	22205
76	156	1967	132	2178	3598	3486	235	3489	6032
77	93	160	80	106	371	344	98	386	16028
78	162	400	143	234	836	785	162	796	42189
79	69	82	197	64	555	543	278	562	29465
80	117	41	72	213	11	11	86	9	12270
81	270	973	164	536	2670	2657	129	2393	3304
82	46	56	44	53	163	158	49	94	20267
83	99	661	87	174	6061	5931	105	3219	42183
84	2323	15729	549	8730	14996	14999	497	19505	7268
85	102	261	102	112	1689	1579	108	780	38133
86	517	215	243	1670	30	28	238	26	31885
87	94	233	93	108	1635	1543	104	680	44956
88	50	85	50	61	249	233	64	202	43273
89	164	273	88	419	587	564	59	559	23623
90	49	43	94	47	57	89	77	116	4977
91	78	133	75	83	479	444	101	257	42632
92	218	903	407	620	4003	3825	565	1128	35385
93	131	239	105	168	959	901	116	436	43141
94	240	237	117	765	145	154	88	121	38418
95	31	33	61	33	86	93	54	172	5785
96	228	323	174	467	756	732	200	514	5040
97	200	72	70	759	2	2	87	0	24167
98	142	391	141	179	2100	1979	157	1060	41508
99	63	75	73	62	350	330	92	186	8164
100	178	53	97	486	1	1	125	2	11141
101	59	84	54	57	499	468	63	241	40303
102	149	166	153	474	59	47	158	175	34732
103	62	30	121	45	125	121	140	78	33836
104	193	369	308	491	734	715	359	790	469
105	75	98	81	133	198	269	56	254	32333
106	72	57	69	77	178	166	95	92	39828
107	61	80	76	50	206	192	109	263	36041
108	124	164	171	78	1265	1169	177	721	16611
109	80	83	64	92	246	225	79	134	42798
110	53	32	128	22	82	73	201	85	16348
111	120	211	85	143	594	568	99	323	38427
112	262	925	147	973	1466	1488	123	1293	4865
113	132	257	150	134	1427	1324	178	574	35208
114	71	104	114	41	560	510	119	351	13190
115	391	423	352	554	894	878	337	603	3235
116	82	251	79	85	1753	1702	90	766	25689
117	113	162	107	117	703	659	120	332	41751
118	68	207	59	74	1319	1277	76	713	8192
119	354	930	206	1455	2669	2474	241	1375	39872
120	205	482	200	245	2074	2003	206	1040	32752
121	126	232	98	142	451	408	122	624	14109
122	742	1627	406	2661	1648	1639	386	1894	42129
123	90	93	84	128	210	205	84	155	1110
124	84	96	95	71	407	388	106	240	32719
125	101	108	123	101	185	175	183	247	36181
126	137	116	68	319	74	74	46	76	25560
127	169	55	231	249	27	29	277	17	41150
128	52	48	108	26	365	374	126	262	37157
129	85	146	74	109	431	324	80	362	41445
130	195	425	119	377	1483	1401	93	1147	4638
131	994	1665	877	2462	1608	1603	751	1875	8032
132	104	139	112	95	907	857	133	458	17621
133	157	50	184	150	37	34	187	50	5320
134	151	265	146	153	618	573	169	670	42188
135	106	118	138	132	311	297	159	245	43144
136	74	97	91	59	233	223	130	233	32242
137	212	397	259	414	1958	1933	279	642	36937
138	81	39	78	144	21	25	52	21	35665
139	251	226	221	322	196	173	269	874	43080
140	183	501	390	287	2657	2572	563	1257	36364
141	165	89	130	327	42	39	172	44	14867
142	129	171	137	161	514	464	151	318	40509
143	76	76	126	52	117	105	182	188	44024
144	152	272	90	253	1195	1117	72	884	16315
145	134	144	203	118	834	889	308	552	24574
146	379	985	271	1709	1694	1652	290	817	34623
147	255	183	166	1230	6	12	211	58	3392
148	176	252	156	178	930	883	192	402	38367
149	173	744	101	390	2487	2493	67	2199	311
150	197	101	195	326	61	57	186	31	39134
151	2472	12721	1534	10926	11715	11325	1503	15444	895
152	121	130	120	186	379	341	146	178	22024
153	498	1237	267	1146	1736	1734	176	2096	192
154	660	7051	787	10802	13631	13829	1020	11262	15870
155	87	134	100	70	247	230	142	326	36056
156	98	156	106	131	569	535	111	375	20495
157	513	1197	170	1399	1449	1396	124	1810	7241
158	86	62	96	98	175	165	94	114	32102
159	60	58	110	28	299	278	141	216	41917
160	163	846	135	294	3182	3186	91	2665	309
161	367	692	325	692	1076	1060	246	1418	9018
162	57	46	82	54	151	151	58	162	28053
163	115	153	92	113	606	557	113	302	40837
164	6106	17275	1089	31426	8709	10186	960	15248	30336
165	202	266	245	224	274	261	340	381	36338
166	2000	6387	552	6101	4504	4463	525	6120	4329
167	220	509	211	286	1967	1957	153	1343	266
168	302	503	420	439	1675	1655	503	1384	12067
169	119	126	134	111	340	321	195	208	42855
170	184	296	190	180	330	312	234	667	36225
171	66	42	104	34	195	176	100	99	7428
172	130	192	149	123	283	270	207	399	36218
173	1374	447	1213	1955	110	115	1187	144	9857
174	161	235	220	122	1681	1689	305	913	39593
175	276	756	574	423	3796	3721	703	1245	13311
176	241	359	201	380	1295	1216	205	693	34415
177	194	270	226	222	270	262	307	392	36182
178	207	461	233	529	1187	1152	259	697	33475
179	97	132	125	72	816	708	148	352	42061
180	332	767	364	1128	1833	1714	395	978	32288
181	460	1621	253	997	7517	7517	254	2760	44154
182	2261	7501	1558	4754	27785	26157	1469	21331	41004
183	665	370	326	2836	48	48	321	30	42665
184	100	109	148	81	353	347	225	211	40575
185	234	66	258	257	41	45	251	35	15976
186	153	193	219	137	1093	1063	303	688	37422
187	264	662	237	321	3031	2818	253	1557	43163
188	116	73	189	60	267	257	229	156	28475
189	268	143	162	641	50	49	175	40	36411
190	324	124	225	788	31	31	212	24	40272
191	196	620	179	347	2694	2601	198	1268	44219
192	459	458	351	1135	743	709	470	433	41415
193	160	303	144	166	1527	1382	161	777	42157
194	231	410	296	248	1050	1005	397	511	2268
195	4851	27108	1191	44739	21143	20042	992	25530	13494
196	110	176	160	91	818	740	217	424	39943
197	77	112	122	39	762	733	135	389	31111
198	235	121	186	402	78	70	204	53	37309
199	1079	6876	772	6189	9624	9282	906	9669	33230
200	3973	21133	963	17986	19062	18641	736	19927	10081
201	208	87	129	640	13	13	121	20	20756
202	222	155	157	359	102	104	132	102	20284
203	166	141	214	114	644	614	209	412	17937
204	668	512	732	1695	291	286	825	335	20574
205	863	2181	131	8978	844	803	138	485	22170
206	429	2756	1222	2400	8896	8763	1676	5007	20634
207	83	150	127	124	459	494	83	507	22690
208	114	173	181	73	654	620	233	349	27999
209	182	187	208	199	240	220	280	328	36045
