rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	rank_out_real	rank_in_real
1	1	2	1	2	11	45894
2	2	1	2	1	5	85357
3	12	23	12	102	16	1081282
4	3	3	3	6	3	882602
5	7	5	6	9	59	182381
6	4	7	5	8	56	46580
7	6	17	4	11	105	24564
8	16	27	9	18	81	196322
9	32	54	28	44	168	1297773
10	26	11	16	67	6	257769
11	33	45	27	89	152	10677
12	5	14	7	3	83	1052044
13	17	28	8	21	90	1290064
14	8	9	10	15	97	14280
15	13	10	13	23	41	23486
16	10	8	22	5	71	54555
17	24	49	17	32	136	1109819
18	611	5756	366	4187	20263	29111
19	48	59	46	94	123	67359
20	21	4	25	24	14	212642
21	18	19	19	17	51	428911
22	45	78	29	96	124	1277316
23	38	16	21	100	10	37167
24	14	18	11	12	77	1800
25	103	125	23	928	29	125910
26	19	22	20	31	82	273118
27	22	25	15	19	66	663880
28	9	15	18	4	109	83241
29	40	69	37	48	218	1277687
30	43	135	41	84	628	18135
31	34	71	24	40	172	1115259
32	215	519	115	1174	590	314780
33	25	21	32	25	38	214601
34	20	6	34	10	48	1334240
35	67	37	51	169	8	795145
36	36	91	35	30	314	393708
37	11	29	14	20	169	27802
38	64	31	40	198	4	145283
39	95	583	71	291	4900	123402
40	111	214	116	398	205	333206
41	41	79	31	51	252	1022489
42	15	24	26	7	177	377
43	108	271	99	675	211	195923
44	28	64	30	36	313	245131
45	79	255	63	99	540	988271
46	96	203	65	422	256	142741
47	23	12	38	13	46	95685
48	42	26	47	76	36	899350
49	1207	4286	509	6705	5343	231319
50	70	20	57	154	1	87508
51	73	68	33	239	54	208747
52	56	175	58	63	583	1204402
53	35	47	39	58	139	3095
54	107	587	45	305	2531	1230314
55	37	63	36	29	186	871294
56	145	532	103	351	3058	706383
57	44	86	49	49	228	20297
58	58	52	89	42	134	829871
59	125	77	109	254	89	1029455
60	188	184	83	758	60	490467
61	292	1369	228	916	2425	3197
62	27	13	42	14	57	37513
63	92	218	66	138	472	1248358
64	30	38	43	35	159	2427
65	55	122	56	65	423	734192
66	88	224	67	116	595	1248328
67	65	67	55	155	98	33863
68	39	34	48	27	95	131435
69	47	65	53	43	175	991665
70	29	36	52	16	226	57544
71	51	94	62	55	249	449079
72	105	74	175	69	232	1296450
73	54	161	60	56	536	1163297
74	138	99	77	420	32	1202570
75	146	61	183	214	37	379822
76	156	1967	132	2178	3705	68294
77	93	160	80	106	388	238410
78	162	400	143	234	807	1263367
79	69	82	197	64	568	613531
80	117	41	72	213	9	166334
81	270	973	164	536	2481	30285
82	46	56	44	53	94	330179
83	99	661	87	174	3400	1263182
84	2323	15729	549	8730	36974	87215
85	102	261	102	112	791	1024145
86	517	215	243	1670	26	714904
87	94	233	93	108	689	1339590
88	50	85	50	61	203	1308707
89	164	273	88	419	565	420127
90	49	43	94	47	117	53724
91	78	133	75	83	258	1283236
92	218	903	407	620	1150	878252
93	131	239	105	168	439	1303989
94	240	237	117	765	122	1041261
95	31	33	61	33	173	64865
96	228	323	174	467	520	54438
97	200	72	70	759	0	435802
98	142	391	141	179	1080	1226068
99	63	75	73	62	187	100139
100	178	53	97	486	2	147319
101	59	84	54	57	242	1153537
102	149	166	153	474	176	844665
103	62	30	121	45	78	801785
104	193	369	308	491	801	1870
105	75	98	81	133	255	736715
106	72	57	69	77	92	1125807
107	61	80	76	50	264	912685
108	124	164	171	78	732	250744
109	80	83	64	92	135	1289566
110	53	32	128	22	85	245208
111	120	211	85	143	324	1041485
112	262	925	147	973	1317	52220
113	132	257	150	134	581	869722
114	71	104	114	41	353	183021
115	391	423	352	554	610	29376
116	82	251	79	85	777	482274
117	113	162	107	117	333	1240053
118	68	207	59	74	723	100649
119	354	930	206	1455	1404	1127064
120	205	482	200	245	1059	753333
121	126	232	98	142	633	200568
122	742	1627	406	2661	1952	1261457
123	90	93	84	128	156	6425
124	84	96	95	71	241	751885
125	101	108	123	101	248	918560
126	137	116	68	319	76	477531
127	169	55	231	249	17	1207380
128	52	48	108	26	263	969861
129	85	146	74	109	364	1223145
130	195	425	119	377	1170	49067
131	994	1665	877	2462	1933	97896
132	104	139	112	95	461	271268
133	157	50	184	150	50	58316
134	151	265	146	153	679	1263366
135	106	118	138	132	246	1304098
136	74	97	91	59	234	732178
137	212	397	259	414	651	959293
138	81	39	78	144	21	893854
139	251	226	221	322	887	1301391
140	183	501	390	287	1281	925506
141	165	89	130	327	44	215273
142	129	171	137	161	319	1166271
143	76	76	126	52	189	1329789
144	152	272	90	253	897	244712
145	134	144	203	118	558	447758
146	379	985	271	1709	828	839189
147	255	183	166	1230	58	31496
148	176	252	156	178	404	1036644
149	173	744	101	390	2272	933
150	197	101	195	326	31	1081848
151	2472	12721	1534	10926	23710	4624
152	121	130	120	186	179	375479
153	498	1237	267	1146	2163	446
154	660	7051	787	10802	14644	235047
155	87	134	100	70	327	912700
156	98	156	106	131	377	336012
157	513	1197	170	1399	1864	86887
158	86	62	96	98	115	724635
159	60	58	110	28	217	1248390
160	163	846	135	294	2782	923
161	367	692	325	692	1450	114141
162	57	46	82	54	163	560440
163	115	153	92	113	303	1188200
164	6106	17275	1089	31426	23241	647686
165	202	266	245	224	383	924534
166	2000	6387	552	6101	6860	44716
167	220	509	211	286	1369	727
168	302	503	420	439	1413	162672
169	119	126	134	111	209	1292741
170	184	296	190	180	676	918604
171	66	42	104	34	99	89382
172	130	192	149	123	401	918597
173	1374	447	1213	1955	145	127084
174	161	235	220	122	928	1109319
175	276	756	574	423	1268	185403
176	241	359	201	380	702	828801
177	194	270	226	222	394	918561
178	207	461	233	529	706	786008
179	97	132	125	72	354	1256895
180	332	767	364	1128	996	733467
181	460	1621	253	997	2882	1332104
182	2261	7501	1558	4754	44910	1196889
183	665	370	326	2836	30	1284692
184	100	109	148	81	212	1170944
185	234	66	258	257	35	237391
186	153	193	219	137	697	984739
187	264	662	237	321	1598	1305051
188	116	73	189	60	157	575588
189	268	143	162	641	40	928769
190	324	124	225	788	24	1152519
191	196	620	179	347	1292	1333234
192	459	458	351	1135	436	1220387
193	160	303	144	166	788	1262258
194	231	410	296	248	517	18003
195	4851	27108	1191	44739	71541	189247
196	110	176	160	91	426	1132902
197	77	112	122	39	391	680490
198	235	121	186	402	53	978809
199	1079	6876	772	6189	11893	775149
200	3973	21133	963	17986	38606	130480
201	208	87	129	640	20	342611
202	222	155	157	359	102	330365
203	166	141	214	114	414	277368
204	668	512	732	1695	336	337875
205	863	2181	131	8978	489	379089
206	429	2756	1222	2400	5497	339422
207	83	150	127	124	513	392665
208	114	173	181	73	351	559387
209	182	187	208	199	329	912689
210	295	576	222	472	1480	991128
211	91	95	124	68	227	418196
212	172	123	207	146	230	7525
213	199	88	252	458	12	1307348
214	206	356	188	200	722	1313090
215	89	115	178	37	342	23917
216	312	892	304	517	1985	1338077
217	420	275	370	1283	84	1101130
218	198	463	113	964	478	81891
219	540	1700	343	2886	1374	330864
220	380	418	86	1669	196	1133914
221	158	455	111	376	1512	698
222	425	2018	606	1614	4989	629907
223	721	2975	717	1949	7624	42264
224	175	738	140	330	2364	127
225	888	4221	1328	4800	4372	1238160
226	728	4335	1407	9995	2345	826570
227	171	189	275	119	447	1000824
228	168	200	305	97	1041	454396
229	4583	15314	2130	15818	40725	300671
230	1673	6566	532	5044	9324	24707
231	189	246	216	209	357	143457
232	118	142	158	88	300	663293
233	263	506	524	731	661	56349
234	282	186	282	720	52	370153
235	128	136	218	90	289	40334
236	781	3457	630	5649	2698	1338927
237	1524	22785	151	17185	51908	145715
238	296	847	239	1228	1241	381722
239	139	221	213	126	418	140372
240	226	333	177	247	547	1309756
241	844	3514	706	1193	11378	643777
242	201	829	199	399	1262	671197
243	895	609	462	1537	1731	1317414
244	542	5006	118	5994	3985	1023495
245	746	720	331	1095	1046	334579
246	133	140	194	149	417	47967
247	1913	5851	2010	6554	16517	202067
248	401	869	609	521	1463	207966
249	664	2202	443	3956	1557	992914
250	209	334	161	231	642	1325264
251	224	201	310	162	386	1290090
252	2214	6289	1421	7848	20704	130532
253	259	319	145	669	265	1339542
254	1019	34068	3525	24481	90990	1182121
255	272	372	251	223	796	574561
256	150	390	212	159	1821	17490
257	311	1390	168	693	3507	130883
258	185	357	223	373	734	478761
259	154	158	278	107	455	72544
260	348	432	436	539	491	150793
261	1732	26545	180	13702	103701	88107
262	122	40	169	66	64	1289205
263	186	172	154	403	202	481
264	109	90	210	38	250	133734
265	147	81	136	212	87	9317
266	3936	9272	2190	6852	18142	63246
267	349	119	176	722	25	893185
268	112	70	193	46	171	11562
269	467	959	1341	691	3556	853843
270	174	51	269	121	63	986406
271	1904	8800	457	7458	17126	324459
272	249	332	599	251	564	96694
273	557	1021	893	858	970	918987
274	410	658	391	625	1252	824366
275	159	570	173	201	2329	245277
276	370	495	417	391	615	692546
277	456	308	555	1190	103	1338149
278	347	180	626	364	236	547906
279	307	1194	277	716	2074	1337258
280	476	1257	492	1604	1981	433084
281	127	60	272	75	141	2638
282	203	403	205	190	955	1339636
283	242	771	185	494	1797	137680
284	1409	8227	545	5498	23887	276415
285	279	1066	235	425	3451	1267004
286	179	35	232	145	18	250762
287	237	415	279	525	659	184859
288	424	818	398	626	1812	1306640
289	350	837	540	482	1340	197174
290	345	190	472	243	474	226648
291	1884	4387	1008	3027	11353	5529
292	285	382	458	246	794	785146
293	4446	33118	1234	42721	143059	95751
294	318	389	315	450	824	248641
295	250	202	198	368	247	97872
296	239	322	281	187	452	60859
297	1131	1696	475	4279	598	487846
298	204	170	393	273	201	63158
299	170	44	286	82	72	1083662
300	290	1426	152	782	5792	905951
301	144	277	172	141	1021	394011
302	136	117	139	185	184	1630
303	2318	8912	2907	33733	4567	290748
304	141	131	182	181	190	147838
305	1089	7265	1491	5651	19165	208878
306	260	526	456	197	2560	5520
307	3343	18530	1682	18201	49925	146311
308	143	147	187	87	371	1339491
309	253	295	257	386	419	209569
310	192	191	191	261	431	35686
311	291	404	302	240	736	1312055
312	167	204	264	93	663	1311274
313	500	770	1115	1270	1684	1339450
314	233	317	372	215	848	18990
315	219	282	215	252	362	1212001
316	709	705	748	878	923	162302
317	1667	7153	1165	4402	39152	375460
318	756	1561	939	1482	2555	846461
319	406	476	419	384	854	1258466
320	1028	9707	387	8306	16795	100637
321	616	2254	1403	2563	2528	189499
322	217	666	240	255	2156	84111
323	123	178	133	216	379	789686
324	390	546	618	407	989	1283805
325	655	1526	380	2136	1440	126290
326	1455	3082	1257	5582	2358	65733
327	1824	3424	1598	4911	3369	299186
328	396	937	629	615	1704	688030
329	180	388	155	156	1020	912166
330	588	1199	382	1044	1536	1334281
331	482	1632	846	1919	1278	73136
332	261	110	246	323	70	498858
333	266	445	312	184	1462	1315283
334	454	695	434	709	778	1163983
335	210	327	229	206	625	1178701
336	378	300	319	968	185	180866
337	510	1260	289	1134	1530	1669
338	300	1338	521	1563	1707	467818
339	671	1352	778	1129	3078	193419
340	287	538	314	278	1310	1333703
341	494	1157	342	1314	1892	535063
342	187	137	397	86	390	1296743
343	516	842	507	697	1744	1306643
344	366	498	976	219	3402	959080
345	284	114	488	165	245	1329644
346	309	682	262	379	1245	1337076
347	280	479	159	507	873	89950
348	473	120	339	784	15	129557
349	415	660	291	535	1038	865608
350	342	508	412	464	1300	148168
351	559	2111	244	1476	5906	24056
352	613	1800	142	3260	1476	53744
353	243	394	165	354	1102	1253
354	693	497	363	2591	138	282433
355	288	568	250	236	1147	1210266
356	329	561	297	367	1405	357485
357	229	279	268	208	624	727531
358	359	247	192	1427	34	1339526
359	244	230	256	272	408	37315
360	257	260	284	204	532	1318735
361	452	361	335	1006	326	40778
362	501	1684	274	1083	3503	453263
363	213	364	224	285	1433	15030
364	2184	9408	854	10217	9970	8894
365	135	103	163	151	164	1276245
366	478	310	523	1007	167	1337781
367	286	325	254	429	409	10197
368	583	2345	332	1227	4569	1281049
369	191	241	242	175	483	3722
370	831	3037	564	1761	7309	360209
371	275	331	418	387	505	284265
372	306	245	306	218	358	1139423
373	148	151	247	80	443	960708
374	5791	7099	1878	19593	2507	764905
375	506	474	167	2339	153	899195
376	385	524	341	546	768	1315601
377	155	128	238	115	366	28481
378	316	268	330	265	638	26587
379	1958	5395	295	16426	3541	640095
380	256	106	371	203	200	1023
381	431	1741	514	719	6830	192
382	331	575	196	607	2336	150189
383	4225	9636	1673	8762	12952	26679
384	453	424	410	701	438	13244
385	505	1642	795	1840	1280	1328653
386	423	565	375	672	1343	261866
387	5349	24452	1044	41934	37195	8268
388	938	1970	821	2169	1423	164947
389	384	484	338	1005	400	138100
390	689	174	686	1233	27	172327
391	323	486	359	662	712	258701
392	351	499	455	503	1089	100785
393	450	772	617	544	1745	1092136
394	1434	18714	287	16485	53733	92239
395	389	339	590	371	1138	610234
