N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0112891,0.0138047,1.0,118.5,0.0
3,0.00734964,0.0102285,-0.33333333333333337,119.66666666666667,0.5
4,0.00532525,0.00795888,-0.6666666666666669,120.75,0.6
5,0.00513206,0.00702864,0.0,120.4,0.6666666666666666
6,0.0047856,0.00659894,0.3333333333333333,119.0,0.5
7,0.00443994,0.00580884,0.4285714285714286,119.0,0.5555555555555556
8,0.00415206,0.00580223,0.4999999999999999,118.75,0.45454545454545453
9,0.00368048,0.00522615,0.3333333333333333,119.55555555555556,0.6363636363636364
10,0.00336233,0.00514996,0.4666666666666666,118.7,0.5384615384615384
11,0.00323256,0.0047554,0.4909090909090909,118.72727272727273,0.4666666666666667
12,0.0029058,0.00460176,0.5454545454545454,118.58333333333333,0.5
13,0.00282781,0.00457607,0.4358974358974358,119.3076923076923,0.625
14,0.00238972,0.00413202,0.5164835164835165,118.21428571428571,0.5555555555555556
15,0.00236063,0.00411834,0.561904761904762,117.8,0.5789473684210527
16,0.0022751,0.00400118,0.48333333333333334,118.5,0.6842105263157895
17,0.00224642,0.0039602,0.5441176470588235,117.76470588235294,0.6190476190476191
18,0.00223309,0.00387336,0.542483660130719,118.0,0.6363636363636364
19,0.00217541,0.00385897,0.543859649122807,118.21052631578948,0.6521739130434783
20,0.00213694,0.00364184,0.5894736842105264,116.8,0.6666666666666666
21,0.00209021,0.00346716,0.6285714285714286,112.14285714285714,0.6153846153846154
22,0.00208677,0.00339061,0.6277056277056278,112.36363636363636,0.5714285714285714
23,0.002057,0.00314688,0.6047430830039525,112.91304347826087,0.5862068965517241
24,0.0020477,0.00306352,0.608695652173913,113.08333333333333,0.6
25,0.0018377,0.00293216,0.5933333333333333,113.52,0.6129032258064516
26,0.00182049,0.00261457,0.5753846153846154,114.0,0.6774193548387096
27,0.00179768,0.002592,0.6011396011396013,112.77777777777777,0.6363636363636364
28,0.00174329,0.00254211,0.6137566137566137,112.75,0.6470588235294118
29,0.00163571,0.00240527,0.6256157635467979,112.51724137931035,0.6111111111111112
30,0.00163047,0.00240406,0.6367816091954024,112.23333333333333,0.5789473684210527
31,0.00162765,0.00233584,0.6129032258064516,112.7741935483871,0.631578947368421
32,0.00160824,0.00229744,0.6290322580645162,112.21875,0.6410256410256411
33,0.00159818,0.0022623,0.6515151515151516,109.12121212121212,0.6097560975609756
34,0.00155233,0.00223164,0.6327985739750447,109.67647058823529,0.6190476190476191
