N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.0638813,-1.0,1.0,1.0
3,0.0132962,0.0475634,0.33333333333333337,7.333333333333333,1.0
4,0.0115281,0.0180051,0.3333333333333334,5.75,1.0
5,0.00707264,0.0131892,0.39999999999999997,4.6,1.0
6,0.00705449,0.0128141,0.4666666666666666,4.0,0.8
7,0.00676817,0.0123262,0.5238095238095238,4.857142857142857,0.8333333333333334
8,0.00670059,0.0119415,0.6428571428571428,6.625,0.7142857142857143
9,0.00622213,0.0118157,0.7222222222222222,9.666666666666666,0.625
10,0.00621296,0.0116374,0.6,8.8,0.5555555555555556
11,0.00615348,0.0113183,0.6363636363636364,10.454545454545455,0.6
12,0.00600937,0.0111508,0.5454545454545454,9.75,0.5454545454545454
13,0.0054696,0.0101271,0.564102564102564,10.153846153846153,0.5
14,0.00527524,0.00950504,0.45054945054945056,9.785714285714286,0.6153846153846154
15,0.00523558,0.00942349,0.37142857142857144,9.466666666666667,0.6428571428571429
16,0.00496658,0.00909739,0.2833333333333333,9.375,0.6666666666666666
17,0.00488412,0.00829476,0.3529411764705882,10.176470588235293,0.6875
18,0.00466055,0.00808714,0.4248366013071896,14.166666666666666,0.6470588235294118
19,0.00456843,0.00763326,0.47368421052631576,14.789473684210526,0.6111111111111112
20,0.00454685,0.00715972,0.35789473684210527,14.85,0.631578947368421
21,0.00436353,0.00714569,0.34285714285714286,14.238095238095237,0.65
22,0.0043589,0.00713148,0.3939393939393939,15.227272727272727,0.6190476190476191
23,0.00434135,0.00705145,0.35968379446640314,14.869565217391305,0.6818181818181818
24,0.00432759,0.00702477,0.34057971014492755,14.5,0.6956521739130435
25,0.00413664,0.0065104,0.3866666666666666,15.64,0.6666666666666666
26,0.00406731,0.00618393,0.37230769230769234,15.192307692307692,0.68
27,0.00401162,0.00593685,0.36752136752136755,14.703703703703704,0.7307692307692307
28,0.00387225,0.0059285,0.328042328042328,14.642857142857142,0.7777777777777778
29,0.00384192,0.00571765,0.3596059113300492,14.931034482758621,0.75
30,0.00374628,0.00537636,0.3977011494252874,15.766666666666667,0.7241379310344828
31,0.00371083,0.00519538,0.41935483870967744,15.96774193548387,0.7
32,0.00358594,0.00478939,0.4516129032258065,17.28125,0.6774193548387096
33,0.00345763,0.00469038,0.4242424242424242,17.12121212121212,0.6875
34,0.00342922,0.00467287,0.358288770053476,17.441176470588236,0.696969696969697
35,0.00340631,0.00463547,0.35798319327731093,16.97142857142857,0.7058823529411765
36,0.00339288,0.00423173,0.38095238095238104,17.27777777777778,0.6857142857142857
37,0.0033726,0.0039726,0.37537537537537535,17.027027027027028,0.6944444444444444
38,0.00332147,0.00355073,0.3712660028449502,16.789473684210527,0.7297297297297297
39,0.00309363,0.00336646,0.4008097165991903,17.71794871794872,0.7105263157894737
40,0.00308609,0.0032094,0.4230769230769231,18.175,0.717948717948718
41,0.00308175,0.00304048,0.4341463414634146,18.170731707317074,0.7
42,0.00300105,0.00295174,0.41231126596980255,18.166666666666668,0.7073170731707317
43,0.00297695,0.0029307,0.43300110741971204,18.72093023255814,0.7142857142857143
44,0.0029752,0.00283941,0.4334038054968287,18.386363636363637,0.6976744186046512
45,0.00288886,0.00256785,0.45050505050505046,18.822222222222223,0.7045454545454546
46,0.00287918,0.0025345,0.4628019323671498,19.043478260869566,0.6888888888888889
47,0.00285927,0.00240063,0.42090656799259946,19.382978723404257,0.6956521739130435
48,0.00274122,0.0023412,0.4024822695035461,19.4375,0.723404255319149
49,0.00273933,0.00231348,0.42517006802721086,20.06122448979592,0.7083333333333334
50,0.00267516,0.00216765,0.39755102040816326,20.26,0.7142857142857143
51,0.00257086,0.00216672,0.3976470588235295,19.862745098039216,0.72
52,0.00250887,0.00211844,0.40874811463046756,19.884615384615383,0.7254901960784313
53,0.00246639,0.00209066,0.4005805515239478,19.77358490566038,0.75
54,0.00245788,0.00203694,0.41998602375960864,20.12962962962963,0.7358490566037735
55,0.00245559,0.00198392,0.4154882154882156,19.90909090909091,0.7407407407407407
56,0.002449,0.00195753,0.4311688311688312,20.178571428571427,0.7272727272727273
57,0.00240868,0.00189327,0.43358395989974946,19.92982456140351,0.7142857142857143
58,0.00239229,0.00186911,0.4240774349667271,19.879310344827587,0.7368421052631579
59,0.00239205,0.00185785,0.42372881355932196,19.576271186440678,0.7586206896551724
60,0.0023546,0.00182649,0.43163841807909603,19.483333333333334,0.7457627118644068
61,0.00232599,0.00178474,0.448087431693989,19.75409836065574,0.7333333333333333
62,0.00231675,0.00177598,0.41406663141195144,20.225806451612904,0.7377049180327869
63,0.00231032,0.00177145,0.4234511008704557,20.142857142857142,0.7419354838709677
64,0.00220988,0.00166094,0.4097222222222222,20.28125,0.7619047619047619
65,0.00218124,0.00157088,0.41250000000000003,20.0,0.75
66,0.00216174,0.00152578,0.4219114219114219,19.893939393939394,0.7384615384615385
67,0.00213324,0.00118181,0.41564902758932615,19.850746268656717,0.7575757575757576
68,0.00212806,0.00113809,0.4003511852502194,20.08823529411765,0.7761194029850746
69,0.00212217,0.00105527,0.39471440750213127,20.08695652173913,0.7794117647058824
70,0.00203589,0.00101267,0.3805383022774327,20.32857142857143,0.7971014492753623
71,0.00201783,0.000811401,0.38350100603621734,20.12676056338028,0.8
72,0.00195836,0.000802303,0.3818466353677621,20.083333333333332,0.8028169014084507
73,0.00192256,0.000705233,0.3873668188736682,19.82191780821918,0.8194444444444444
74,0.00190602,0.000661989,0.3898556090336912,19.66216216216216,0.8356164383561644
75,0.00188633,0.000569235,0.38162162162162167,19.786666666666665,0.8513513513513513
76,0.00186188,0.000534303,0.3964912280701755,19.81578947368421,0.8533333333333334
77,0.00184975,0.000531392,0.40054682159945315,19.636363636363637,0.8552631578947368
78,0.00183452,0.000523289,0.4105894105894106,19.525641025641026,0.8571428571428571
79,0.00181967,0.000500936,0.4086335605322947,19.518987341772153,0.8717948717948718
80,0.00179396,0.000473895,0.3949367088607595,19.825,0.8734177215189873
81,0.00179124,0.000468884,0.4074074074074074,19.765432098765434,0.8625
82,0.00178944,0.000466044,0.39716952725082805,19.98780487804878,0.8641975308641975
83,0.00175251,0.000434902,0.40875697913605635,19.879518072289155,0.8658536585365854
84,0.00172984,0.000414354,0.42283419391853133,19.845238095238095,0.8554216867469879
85,0.00172141,0.000382573,0.42913165266106446,19.623529411764707,0.8690476190476191
86,0.00170234,0.000373634,0.4331053351573187,19.5,0.8705882352941177
87,0.00167736,0.000293273,0.43811815022721196,19.35632183908046,0.872093023255814
88,0.00167489,0.0002202,0.43416927899686525,19.431818181818183,0.8735632183908046
89,0.00162548,0.000207628,0.44075587334014305,19.247191011235955,0.8863636363636364
90,0.00158886,0.000138287,0.42621722846441945,19.622222222222224,0.898876404494382
91,0.00156835,0.000136083,0.4256410256410256,19.64835164835165,0.9111111111111111
92,0.00156108,0.000119913,0.4352603917821309,19.467391304347824,0.9120879120879121
93,0.00155851,0.00011826,0.4394576905095839,19.376344086021504,0.9239130434782609
94,0.00155582,0.000102361,0.44314802104781514,19.30851063829787,0.9354838709677419
95,0.00153907,5.99103e-05,0.4262038073908174,19.778947368421054,0.9468085106382979
96,0.00152594,5.4172e-05,0.43245614035087715,19.666666666666668,0.9578947368421052
97,0.00151847,3.1587e-05,0.42525773195876293,19.90721649484536,0.96875
98,0.00150353,1.65843e-05,0.43151693667157587,19.806122448979593,0.979381443298969
