N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.122545,1.0,3716.0,1.0
3,0.0132962,0.0409036,1.0,3719.0,1.0
4,0.0115281,0.022779,0.6666666666666669,3718.0,1.0
5,0.00707264,0.0217305,0.6,3718.0,0.75
6,0.00705449,0.0208342,0.4666666666666666,3717.3333333333335,0.8
7,0.00676817,0.0205122,0.4285714285714286,3717.0,1.0
8,0.00670059,0.0161976,0.5714285714285714,3717.875,0.8571428571428571
9,0.00622213,0.0148661,0.6666666666666666,3720.222222222222,0.75
10,0.00621296,0.0145873,0.6888888888888888,3721.4,0.6666666666666666
11,0.00615348,0.0130376,0.7454545454545454,3722.909090909091,0.6
12,0.00600937,0.0129211,0.5757575757575757,3721.75,0.7272727272727273
13,0.0054696,0.0126794,0.564102564102564,3721.6153846153848,0.6666666666666666
14,0.00527524,0.0119038,0.4945054945054945,3720.785714285714,0.6923076923076923
15,0.00523558,0.0115334,0.4666666666666667,3720.3333333333335,0.7142857142857143
16,0.00496658,0.0103973,0.41666666666666663,3719.6875,0.8
17,0.00488412,0.0102911,0.4411764705882352,3719.8823529411766,0.8125
18,0.00466055,0.00986084,0.5032679738562092,3752.6111111111113,0.7647058823529411
19,0.00456843,0.00892445,0.543859649122807,3752.2105263157896,0.7222222222222222
20,0.00454685,0.00891463,0.5263157894736842,3750.45,0.6842105263157895
21,0.00436353,0.00890062,0.5047619047619049,3748.6666666666665,0.75
22,0.0043589,0.0082867,0.5324675324675324,3748.2272727272725,0.7142857142857143
23,0.00434135,0.0077795,0.549407114624506,3747.478260869565,0.6818181818181818
24,0.00432759,0.00704321,0.5,3745.75,0.7391304347826086
25,0.00413664,0.00666693,0.5333333333333332,3747.68,0.7083333333333334
26,0.00406731,0.0064927,0.5076923076923078,3746.1923076923076,0.76
27,0.00401162,0.0063368,0.49287749287749294,3744.8888888888887,0.7692307692307693
28,0.00387225,0.00614256,0.4285714285714285,3743.1785714285716,0.7777777777777778
29,0.00384192,0.00566438,0.4482758620689654,3742.6206896551726,0.75
30,0.00374628,0.00555846,0.4666666666666667,3742.1666666666665,0.7241379310344828
31,0.00371083,0.00552673,0.4709677419354839,3741.4193548387098,0.7
32,0.00358594,0.00549353,0.5000000000000001,3746.34375,0.7096774193548387
33,0.00345763,0.00498974,0.4848484848484849,3745.181818181818,0.75
34,0.00342922,0.00498678,0.4581105169340464,3743.9117647058824,0.7878787878787878
35,0.00340631,0.00492344,0.4789915966386554,3744.0285714285715,0.7647058823529411
36,0.00339288,0.00488005,0.47936507936507944,3743.25,0.7714285714285715
37,0.0033726,0.00458988,0.4294294294294294,3741.810810810811,0.7777777777777778
38,0.00332147,0.00448319,0.44807965860597443,3741.815789473684,0.7837837837837838
39,0.00309363,0.00440954,0.46828609986504727,3742.5897435897436,0.7631578947368421
40,0.00308609,0.00423256,0.4897435897435898,3743.7,0.7692307692307693
41,0.00308175,0.00402103,0.4902439024390244,3743.0243902439024,0.775
42,0.00300105,0.00360881,0.4518002322880372,3741.7380952380954,0.7804878048780488
43,0.00297695,0.00350724,0.47065337763012177,3742.6511627906975,0.7857142857142857
44,0.0029752,0.00320155,0.4566596194503171,3741.681818181818,0.7906976744186046
45,0.00288886,0.00311787,0.46868686868686865,3741.866666666667,0.7954545454545454
46,0.00287918,0.00297947,0.48212560386473435,3742.391304347826,0.7777777777777778
47,0.00285927,0.00288351,0.45975948196114713,3741.31914893617,0.782608695652174
48,0.00274122,0.00278014,0.45921985815602845,3740.6666666666665,0.8085106382978723
49,0.00273933,0.00272472,0.48129251700680264,3763.795918367347,0.7916666666666666
50,0.00267516,0.00267833,0.4873469387755102,3763.24,0.7755102040816326
51,0.00257086,0.00266879,0.4933333333333334,3762.7450980392155,0.76
52,0.00250887,0.00266161,0.493212669683258,3761.923076923077,0.7450980392156863
53,0.00246639,0.00264518,0.48040638606676345,3760.7169811320755,0.75
54,0.00245788,0.00262285,0.4926624737945492,3760.8703703703704,0.7358490566037735
55,0.00245559,0.00257799,0.4814814814814815,3759.7272727272725,0.7407407407407407
56,0.002449,0.00253354,0.4961038961038961,3760.535714285714,0.7454545454545455
57,0.00240868,0.0024806,0.4912280701754386,3759.5263157894738,0.75
58,0.00239229,0.00246745,0.49062310949788257,3758.7758620689656,0.7543859649122807
59,0.00239205,0.00242838,0.5032144944476913,3759.169491525424,0.7413793103448276
60,0.0023546,0.00227893,0.5163841807909605,3760.5833333333335,0.7288135593220338
61,0.00232599,0.00219205,0.5300546448087432,3763.6393442622953,0.7166666666666667
62,0.00231675,0.00217597,0.5081967213114754,3762.3064516129034,0.7213114754098361
63,0.00231032,0.0021027,0.5104966717869943,3762.031746031746,0.7096774193548387
64,0.00220988,0.00208636,0.49107142857142855,3760.78125,0.7301587301587301
65,0.00218124,0.0020726,0.48653846153846164,3759.9384615384615,0.734375
66,0.00216174,0.00198803,0.48904428904428904,3759.6060606060605,0.7230769230769231
67,0.00213324,0.00198796,0.4871099050203529,3758.9253731343283,0.7424242424242424
68,0.00212806,0.00197444,0.47497805092186124,3757.8676470588234,0.746268656716418
69,0.00212217,0.00185937,0.46888320545609546,3756.942028985507,0.75
70,0.00203589,0.00180078,0.45010351966873713,3755.7714285714287,0.7681159420289855
71,0.00201783,0.00177099,0.4462776659959759,3754.9295774647885,0.7714285714285715
72,0.00195836,0.00175384,0.45383411580594674,3754.847222222222,0.7605633802816901
73,0.00192256,0.00172275,0.4497716894977169,3754.054794520548,0.7777777777777778
74,0.00190602,0.00172141,0.4601999259533507,3754.4054054054054,0.7671232876712328
75,0.00188633,0.00170451,0.47099099099099107,3754.84,0.7567567567567568
76,0.00186188,0.00168323,0.48140350877192994,3755.3815789473683,0.7466666666666667
77,0.00184975,0.00168179,0.4832535885167464,3755.0779220779223,0.7368421052631579
78,0.00183452,0.00168016,0.4931734931734932,3755.653846153846,0.7272727272727273
79,0.00181967,0.00164,0.49042518662771833,3755.025316455696,0.7435897435897436
80,0.00179396,0.00163545,0.4962025316455696,3755.0,0.7341772151898734
81,0.00179124,0.00155869,0.5067901234567901,3756.8518518518517,0.725
82,0.00178944,0.00150229,0.4965371875940982,3755.9146341463415,0.7283950617283951
83,0.00175251,0.00147225,0.49808992065824265,3755.626506024096,0.7195121951219512
84,0.00172984,0.00147151,0.5100401606425703,3781.7976190476193,0.7108433734939759
85,0.00172141,0.00146248,0.5109243697478992,3781.2235294117645,0.7023809523809523
86,0.00170234,0.00144637,0.5206566347469219,3785.4767441860463,0.6941176470588235
87,0.00167736,0.00141869,0.5188452285485164,3784.7586206896553,0.686046511627907
88,0.00167489,0.00139112,0.5088819226750262,3783.5454545454545,0.7011494252873564
89,0.00162548,0.00136468,0.515832482124617,3783.629213483146,0.6931818181818182
90,0.00158886,0.00136467,0.5056179775280899,3782.4222222222224,0.6966292134831461
91,0.00156835,0.0013382,0.5018315018315018,3781.5494505494507,0.7
92,0.00156108,0.00132959,0.5097945532728141,3782.2065217391305,0.7032967032967034
93,0.00155851,0.00132796,0.5133239831697055,3781.9032258064517,0.7065217391304348
94,0.00155582,0.00128989,0.5209334248455731,3782.755319148936,0.7096774193548387
95,0.00153907,0.00127068,0.5023516237402015,3781.378947368421,0.723404255319149
96,0.00152594,0.00126078,0.5096491228070175,3782.0729166666665,0.7263157894736842
97,0.00151847,0.00125161,0.5154639175257734,3782.453608247423,0.71875
98,0.00150353,0.00124615,0.5181990321901957,3782.2244897959185,0.711340206185567
99,0.00148544,0.00123475,0.5102040816326532,3781.191919191919,0.7244897959183674
100,0.00147764,0.00121724,0.5151515151515152,3781.32,0.7171717171717171
101,0.00146368,0.00121637,0.506930693069307,3780.2574257425745,0.72
102,0.00146153,0.00120575,0.5103863327509222,3780.0882352941176,0.7227722772277227
103,0.00144759,0.00119595,0.5023795926137445,3779.0679611650485,0.7352941176470589
104,0.0014468,0.00113783,0.5078416728902166,3779.3173076923076,0.7281553398058253
105,0.00142389,0.00111966,0.5025641025641024,3778.4285714285716,0.7403846153846154
106,0.00138729,0.00111376,0.49685534591194974,3777.5188679245284,0.7428571428571429
107,0.00136836,0.0011083,0.4886263445600424,3776.5140186915887,0.7547169811320755
108,0.00132986,0.0011012,0.48978885427483554,3776.1018518518517,0.7570093457943925
109,0.00132788,0.00109752,0.48589874277947676,3775.2844036697247,0.7592592592592593
110,0.00132235,0.00107021,0.47589658048373634,3774.2272727272725,0.7614678899082569
111,0.00131379,0.00106952,0.4771498771498771,3773.7837837837837,0.7636363636363637
112,0.00130761,0.00105436,0.4845559845559845,3774.6071428571427,0.7567567567567568
113,0.00129281,0.00105237,0.486409608091024,3774.2566371681414,0.75
114,0.00128483,0.00104379,0.48051544791181494,3773.3684210526317,0.7522123893805309
115,0.00128386,0.00104129,0.488329519450801,3775.269565217391,0.7456140350877193
116,0.00126751,0.00103571,0.48425787106446777,3774.4655172413795,0.7478260869565218
117,0.00126365,0.00101745,0.4842322428529325,3773.931623931624,0.7586206896551724
118,0.00126303,0.00101496,0.47732869766768077,3773.0169491525426,0.7606837606837606
119,0.00123106,0.00100845,0.4846887907705456,3774.5126050420167,0.7542372881355932
120,0.00122852,0.00100521,0.4896358543417366,3774.733333333333,0.7563025210084033
121,0.00122364,0.000999362,0.49035812672176304,3774.289256198347,0.75
122,0.00121874,0.000991354,0.49817097954206746,3778.8934426229507,0.743801652892562
123,0.00121115,0.000989711,0.4938024790083966,3778.1138211382113,0.7459016393442623
124,0.00120993,0.000974135,0.4891161814843954,3777.2903225806454,0.7560975609756098
125,0.00120899,0.000894406,0.4867096774193548,3776.608,0.7661290322580645
126,0.00120823,0.000885337,0.48800000000000004,3776.214285714286,0.768
127,0.0012054,0.000862796,0.4913135858017747,3776.0708661417325,0.7619047619047619
128,0.00119134,0.000849495,0.48056102362204733,3775.0078125,0.7637795275590551
129,0.00118926,0.00084262,0.47601744186046513,3774.2093023255816,0.765625
130,0.00118845,0.000842349,0.48026237328562904,3774.2615384615383,0.7596899224806202
131,0.00117857,0.000826616,0.4877275396359366,3780.4045801526718,0.7615384615384615
132,0.00117835,0.00082353,0.4855424473745084,3779.7045454545455,0.7709923664122137
133,0.00117434,0.000812187,0.48781043517885625,3779.406015037594,0.7651515151515151
134,0.00116566,0.000801423,0.48961957131635053,3779.0597014925374,0.7593984962406015
135,0.0011633,0.000800388,0.48745163073521286,3778.3777777777777,0.7611940298507462
136,0.00115745,0.000796608,0.48082788671023957,3777.4632352941176,0.762962962962963
137,0.00115724,0.000795637,0.48518677544010297,3777.5620437956204,0.7647058823529411
138,0.00114341,0.000791659,0.47953030783878137,3776.7028985507245,0.7737226277372263
139,0.0011351,0.000765362,0.48472526326764676,3777.071942446043,0.7681159420289855
140,0.00113401,0.000763304,0.4875642343268243,3776.942857142857,0.762589928057554
